Product_ID,Category,Sub_Category,Product_Name,Selling_Price_INR,Cost_INR,Stock_Quantity,Product_Rating,Review_Count
P00091,Electronics,Audio,FitPro Audio 07,63742.79,39610.24,851,4.4,2999
P00092,Electronics,Audio,Vistara Audio 08,8514.14,6082.48,216,4.1,4182
P00093,Electronics,Audio,Aarohi Audio 09,40392.79,23175.8,97,4.5,1104
P00094,Electronics,Audio,DailyKart Audio 10,7676.53,5179.55,305,3.7,123
P00095,Electronics,Audio,Vistara Audio 11,58781.09,34319.38,831,3.9,1701
P00096,Electronics,Audio,Zenith Audio 12,86996.09,58048.2,105,3.5,2609
P00097,Electronics,Audio,HomeEase Audio 13,8814.47,6469.17,41,4.8,3082
P00098,Electronics,Audio,ByteMax Audio 14,4238.79,2309.1,75,4.3,3012
P00099,Electronics,Audio,GlowCare Audio 15,71637.15,38121.04,229,4.4,4368
P00100,Electronics,Audio,HomeEase Audio 16,47781.87,27049.81,96,4.5,53
P00101,Electronics,Audio,FitPro Audio 17,18127.89,13598.6,645,4.4,1810
P00102,Electronics,Audio,FitPro Audio 18,62327.95,35950.48,576,3.5,741
P00103,Electronics,Audio,UrbanNest Audio 19,50678.2,33899.05,193,4.4,2032
P00104,Electronics,Audio,HomeEase Audio 20,6660.86,3297,685,4,3419
P00105,Electronics,Audio,Vistara Audio 21,28099.42,17259.03,747,3.9,957
P00106,Electronics,Audio,DailyKart Audio 22,28068.23,16232.2,799,4,2371
P00107,Electronics,Audio,GlowCare Audio 23,89872.81,45504.89,840,3.4,3126
P00108,Electronics,Audio,NovaTech Audio 24,38267.34,27327.78,708,3.7,3806
P00109,Electronics,Audio,ByteMax Audio 25,40586.37,20588,423,3.9,886
P00110,Electronics,Audio,FitPro Audio 26,75312.72,52120.14,698,4.2,2641
P00111,Electronics,Audio,HomeEase Audio 27,54571.72,35029.98,417,4.7,4580
P00112,Electronics,Audio,ByteMax Audio 28,69103.2,34445.07,169,4.9,3340
P00113,Electronics,Audio,Aarohi Audio 29,15592.8,9811.12,490,4,4689
P00114,Electronics,Audio,HomeEase Audio 30,75639.58,42760.3,175,4.9,2018
P00115,Electronics,Audio,DailyKart Audio 31,42460.96,20685.13,987,4.3,2001
P00116,Electronics,Audio,UrbanNest Audio 32,67230.62,50673.47,568,3.8,454
P00117,Electronics,Audio,FitPro Audio 33,68830.32,44798.3,43,4.2,1769
P00118,Electronics,Audio,Vistara Audio 34,37689.4,26993.03,461,3.8,4789
P00119,Electronics,Audio,Zenith Audio 35,53758.87,38426.62,527,3.7,4787
P00120,Electronics,Audio,UrbanNest Audio 36,43504.2,29993.85,952,4.6,2277
P00121,Electronics,Audio,ByteMax Audio 37,36123.44,21817.57,86,4.5,1739
P00122,Electronics,Audio,ByteMax Audio 38,86997.39,45242.68,573,4,929
P00123,Electronics,Audio,HomeEase Audio 39,85525.91,55176.98,43,4.8,2259
P00124,Electronics,Audio,DailyKart  Audio  40,86360.92,64038.01,683,3.7,3576
P00125,Electronics,Audio,Aarohi Audio 41,25373.47,17082.75,926,4.2,3970
P00126,Electronics,Audio,NovaTech Audio 42,15737.51,10754.43,98,3.9,2098
P00127,Electronics,Accessories,Vistara  Accessories  01,36065.29,19594.42,895,4.2,2020
P00128,Electronics,Accessories,GlowCare Accessories 02,47077.68,32706.08,745,3.8,1814
P00129,Electronics,Accessories,Zenith Accessories 03,77822.04,42268.36,868,4.2,2356
P00130,Electronics,Accessories,FitPro Accessories 04,41567.73,23162.63,341,3.9,4607
P00131,Electronics,Accessories,NovaTech Accessories 05,67574.55,37700.11,578,4,1235
P00132,Electronics,Accessories,UrbanNest Accessories 06,52921.49,31641.64,301,3.9,4414
P00133,Electronics,Accessories,ByteMax Accessories 07,24950.75,13035.64,145,4.9,4235
P00134,Electronics,Accessories,ByteMax Accessories 08,32978.98,22416.85,390,4.1,4494
P00135,Electronics,Accessories,FitPro Accessories 09,13848.28,10339.79,292,3.6,475
P00136,Electronics,Accessories,DailyKart Accessories 10,8962.02,5952.87,443,4.2,4691
P00137,Electronics,Accessories,NovaTech Accessories 11,29823.46,19190.54,837,3.4,590
P00138,Electronics,Accessories,UrbanNest Accessories 12,74766.92,43256.56,699,4.7,592
P00139,Electronics,Accessories,Vistara Accessories 13,64361.89,45261.06,875,4.4,1024
P00140,Electronics,Accessories,NovaTech Accessories 14,77009.38,43212.35,399,4.1,1654
P00141,Electronics,Accessories,HomeEase Accessories 15,21759.54,12934,600,3.8,189
P00142,Electronics,Accessories,NovaTech Accessories 16,66088.95,48517.69,528,4.4,4770
P00143,Electronics,Accessories,HomeEase Accessories 17,10354.53,7104.97,957,3.6,1367
P00144,Electronics,Accessories,Aarohi Accessories 18,44836.34,26425.23,417,4.6,3123
P00145,Electronics,Accessories,Vistara Accessories 19,27024.06,16536.59,908,4,1803
P00146,Electronics,Accessories,Vistara Accessories 20,83945.06,55342.52,488,4,2212
P00147,Electronics,Accessories,NovaTech Accessories 21,23335.26,15669.91,925,3.5,4132
P00148,Electronics,Accessories,FitPro Accessories 22,26274.29,16061.52,367,4.8,1114
P00149,Electronics,Accessories,DailyKart Accessories 23,83846.89,49017.75,773,4.8,4113
P00150,Electronics,Accessories,GlowCare Accessories 24,53270.94,29383.2,253,4,808
P00151,Electronics,Accessories,Vistara Accessories 25,52994.17,30044.23,553,3.4,2949
P00152,Electronics,Accessories,HomeEase Accessories 26,23444.99,11633.47,443,4.1,3889
P00153,Electronics,Accessories,UrbanNest  Accessories  27,54865.72,34838.89,379,4.5,4155
P00154,Electronics,Accessories,Vistara Accessories 28,70439.91,42311.23,765,3.4,2918
P00155,Electronics,Accessories,DailyKart Accessories 29,41001.57,30373.77,412,4.7,2672
P00156,Electronics,Accessories,Zenith Accessories 30,13600.96,9879.27,851,4.1,4618
P00157,Electronics,Accessories,Vistara Accessories 31,13632.6,7239.43,51,4.5,640
P00158,Electronics,Accessories,Aarohi Accessories 32,54304.47,31014.62,887,4.4,942
P00159,Electronics,Accessories,Zenith Accessories 33,78828.24,48066.78,737,4.9,791
P00160,Electronics,Accessories,NovaTech Accessories 34,11587.81,5931.31,415,4.2,3222
P00161,Electronics,Accessories,ByteMax Accessories 35,52206.25,28136.62,561,3.6,2028
P00162,Electronics,Accessories,Aarohi Accessories 36,34640.63,21320.79,427,3.5,2587
P00163,Electronics,Accessories,FitPro Accessories 37,868.73,418.22,469,4.3,3064
P00164,Electronics,Accessories,ByteMax Accessories 38,15905.78,11895.73,468,4.1,4402
P00165,Electronics,Accessories,DailyKart Accessories 39,74623.45,51447.95,446,4.3,1063
P00166,Electronics,Accessories,Vistara Accessories 40,81794.71,53509.33,811,4.4,564
P00167,Electronics,Accessories,ByteMax Accessories 41,45710.62,33154.78,688,3.5,969
P00168,Electronics,Accessories,GlowCare Accessories 42,25293.26,12749.84,323,3.6,88
P00169,Fashion,Men Clothing,Zenith Men Clothing 01,4138.11,2393.84,867,4.6,3424
P00170,Fashion,Men Clothing,Aarohi Men Clothing 02,5452.05,3700.78,451,4.3,617
P00171,Fashion,Men Clothing,Vistara Men Clothing 03,1336.49,1007.99,490,4.8,4930
P00172,Fashion,Men Clothing,ByteMax Men Clothing 04,3403.49,1856.89,689,4.4,4888
P00173,Fashion,Men Clothing,GlowCare Men Clothing 05,2197.48,1624.64,266,4.3,2667
P00174,Fashion,Men Clothing,DailyKart Men Clothing 06,3809.38,2404.24,831,4.1,3812
P00175,Fashion,Men Clothing,Aarohi Men Clothing 07,6907.33,4903.83,560,3.9,540
P00176,Fashion,Men Clothing,NovaTech Men Clothing 08,1782.81,1362.71,224,3.9,3983
P00177,Fashion,Men Clothing,HomeEase Men Clothing 09,6147.22,4157.34,958,4.2,1614
P00178,Fashion,Men Clothing,Aarohi Men Clothing 10,3542.66,2234.82,491,3.4,2610
P00179,Fashion,Men Clothing,ByteMax Men Clothing 11,1915.48,1286.14,731,3.9,3168
P00180,Fashion,Men Clothing,FitPro Men Clothing 12,5859.18,3017.47,696,4.5,814
P00181,Fashion,Men Clothing,Zenith Men Clothing 13,1111.48,537.3,262,3.7,1973
P00182,Fashion,Men Clothing,FitPro Men Clothing 14,585.86,311.98,915,4.1,2515
P00183,Fashion,Men Clothing,ByteMax Men Clothing 15,6990.84,3362.18,667,4.5,626
P00184,Fashion,Men Clothing,NovaTech Men Clothing 16,1282.85,861.18,283,3.9,2195
P00185,Fashion,Men Clothing,GlowCare Men Clothing 17,1848.83,1377.39,355,4.5,1921
P00186,Fashion,Men Clothing,Aarohi Men Clothing 18,5216.67,3081.68,164,4.4,2595
P00187,Fashion,Men Clothing,UrbanNest Men Clothing 19,5871.08,3329.44,925,3.9,2794
P00188,Fashion,Men Clothing,UrbanNest Men Clothing 20,6308.74,4772.97,849,3.9,4735
P00189,Fashion,Men Clothing,FitPro Men Clothing 21,4321.85,3158.37,195,4.1,1469
P00190,Fashion,Men Clothing,GlowCare Men Clothing 22,878.99,515.35,926,3.6,1266
P00191,Fashion,Men Clothing,Aarohi Men Clothing 23,5768.39,2909.3,157,3.9,2343
P00192,Fashion,Men Clothing,UrbanNest Men Clothing 24,4831.55,2998.08,313,3.5,2210
P00193,Fashion,Men Clothing,GlowCare Men Clothing 25,4578.69,3144.02,920,3.5,3584
P00194,Fashion,Men Clothing,NovaTech Men Clothing 26,4798.52,2340.94,512,3.6,2444
P00195,Fashion,Men Clothing,DailyKart Men Clothing 27,2771.9,1564.35,111,4.6,1595
P00196,Fashion,Men Clothing,ByteMax Men Clothing 28,319.33,193.62,371,3.9,2143
P00197,Fashion,Men Clothing,DailyKart Men Clothing 29,542.67,415.12,552,3.6,793
P00198,Fashion,Men Clothing,UrbanNest Men Clothing 30,3902.08,2949.44,527,4.7,2414
P00199,Fashion,Men Clothing,GlowCare Men Clothing 31,1871.03,997.93,380,3.6,4506
P00200,Fashion,Men Clothing,GlowCare Men Clothing 32,994.82,514.88,109,3.4,1728
P00201,Fashion,Men Clothing,GlowCare Men Clothing 33,3986.69,2536.59,192,4,1241
P00202,Fashion,Men Clothing,GlowCare Men Clothing 34,6741.38,5230.23,814,4.5,3135
P00203,Fashion,Men Clothing,Zenith Men Clothing 35,1338.29,812.49,244,4.7,2052
P00204,Fashion,Men Clothing,UrbanNest Men Clothing 36,2105.83,1140.73,695,4.4,3182
P00205,Fashion,Men Clothing,NovaTech Men Clothing 37,3302.44,1606.74,89,3.6,508
P00206,Fashion,Men Clothing,FitPro Men Clothing 38,765.78,472.71,66,4.8,3667
P00207,Fashion,Men Clothing,NovaTech Men Clothing 39,3106.28,2352.63,438,3.8,1210
P00208,Fashion,Men Clothing,ByteMax Men Clothing 40,6953.21,4757.89,659,4,1369
P00209,Fashion,Men Clothing,NovaTech Men Clothing 41,6804.89,5229.17,913,4.4,3611
P00210,Fashion,Men Clothing,FitPro Men Clothing 42,2357.6,1320.91,598,3.5,1320
P00211,Fashion,Women Clothing,Zenith Women Clothing 01,6145.47,4730.64,562,4.2,2632
P00212,Fashion,Women Clothing,HomeEase Women Clothing 02,6417.78,4624.28,71,4.5,1313
P00213,Fashion,Women Clothing,FitPro Women Clothing 03,5582,3642.97,864,4,3034
P00214,Fashion,Women Clothing,NovaTech Women Clothing 04,5191.62,3384.39,869,4.3,4678
P00215,Fashion,Women Clothing,Vistara Women Clothing 05,6365.26,3340.78,107,4.7,3927
P00216,Fashion,Women Clothing,Zenith Women Clothing 06,3690.12,2563.58,270,4.1,826
P00217,Fashion,Women Clothing,GlowCare Women Clothing 07,1748.52,1139.97,194,4.3,2112
P00218,Fashion,Women Clothing,NovaTech Women Clothing 08,6832.05,3328.66,772,4.4,2429
P00219,Fashion,Women Clothing,Vistara Women Clothing 09,3973.96,2364.24,220,4,2510
P00220,Fashion,Women Clothing,DailyKart Women Clothing 10,2873.42,1944.38,110,3.5,582
P00221,Fashion,Women Clothing,Zenith Women Clothing 11,3289.59,1670.13,986,4.1,4269
P00222,Fashion,Women Clothing,Vistara Women Clothing 12,594.46,450.61,361,4.6,4597
P00223,Fashion,Women Clothing,GlowCare Women Clothing 13,354.34,267.36,602,3.6,4470
P00224,Fashion,Women Clothing,Zenith Women Clothing 14,6915.06,4762.41,736,4.8,3536
P00225,Fashion,Women Clothing,NovaTech Women Clothing 15,1218.82,899.49,750,3.5,3409
P00226,Fashion,Women Clothing,NovaTech Women Clothing 16,4270.69,2801.96,350,4.8,182
P00227,Fashion,Women Clothing,GlowCare Women Clothing 17,1441.1,1094.98,474,4.7,196
P00228,Fashion,Women Clothing,Aarohi Women Clothing 18,714.08,548.49,706,4.4,2153
P00229,Fashion,Women Clothing,Zenith Women Clothing 19,750.04,406.87,479,4.4,1676
P00230,Fashion,Women Clothing,NovaTech Women Clothing 20,6153.32,4614.8,284,4.1,4349
P00231,Fashion,Women Clothing,Zenith Women Clothing 21,3507.24,1712.03,900,4.5,4545
P00232,Fashion,Women Clothing,Zenith Women Clothing 22,3235.9,2404.17,156,4.6,2989
P00233,Fashion,Women Clothing,HomeEase Women Clothing 23,495.46,317.06,225,4.4,3472
P00234,Fashion,Women Clothing,ByteMax Women Clothing 24,665.81,511.9,649,4,4076
P00235,Fashion,Women Clothing,Vistara Women Clothing 25,556.67,409.4,573,3.5,4640
P00236,Fashion,Women Clothing,ByteMax Women Clothing 26,805.95,559.18,823,4.2,1562
P00237,Fashion,Women Clothing,Aarohi Women Clothing 27,611.98,414.66,201,3.4,2285
P00238,Fashion,Women Clothing,HomeEase Women Clothing 28,4836.98,2567.16,733,4.5,3807
P00239,Fashion,Women Clothing,DailyKart Women Clothing 29,6115.65,4518.09,631,3.9,1409
P00240,Fashion,Women Clothing,HomeEase Women Clothing 30,1816.92,1053.45,243,3.9,3842
P00241,Fashion,Women Clothing,HomeEase Women Clothing 31,436.62,333,625,4,397
P00242,Fashion,Women Clothing,Vistara Women Clothing 32,6448.46,3973.15,192,4.5,2502
P00243,Fashion,Women Clothing,Vistara Women Clothing 33,6594.43,4403.68,819,4.3,58
P00244,Fashion,Women Clothing,GlowCare Women Clothing 34,2278.35,1629.8,451,3.9,3422
P00245,Fashion,Women Clothing,FitPro Women Clothing 35,6969.48,4631.8,33,4.7,4306
P00246,Fashion,Women Clothing,Aarohi Women Clothing 36,5350.23,3205.96,54,3.5,563
P00247,Fashion,Women Clothing,Zenith Women Clothing 37,3906.11,2956.01,338,3.6,1795
P00248,Fashion,Women Clothing,UrbanNest Women Clothing 38,2539.08,1620.38,792,4.1,1670
P00249,Fashion,Women Clothing,NovaTech Women Clothing 39,1838.19,1419.99,655,3.8,3856
P00250,Fashion,Women Clothing,NovaTech Women Clothing 40,4035.92,2356.42,165,4.3,3369
P00251,Fashion,Women Clothing,Zenith Women Clothing 41,6398.26,4483.62,891,4.5,3304
P00252,Fashion,Women Clothing,GlowCare Women Clothing 42,2290.62,1416.88,546,3.9,779
P00253,Fashion,Footwear,FitPro Footwear 01,3199.54,1674.59,895,3.8,4796
P00254,Fashion,Footwear,HomeEase Footwear 02,5040.97,3431.94,93,4.4,4905
P00255,Fashion,Footwear,UrbanNest Footwear 03,4827.07,2387.97,430,3.8,4139
P00256,Fashion,Footwear,Aarohi Footwear 04,2644.7,1664.3,811,3.8,76
P00257,Fashion,Footwear,FitPro Footwear 05,1972.2,1473.51,486,4.2,2038
P00258,Fashion,Footwear,Vistara Footwear 06,4519.79,3140.48,99,4.6,3266
P00259,Fashion,Footwear,UrbanNest Footwear 07,4827.63,2463.45,687,4.9,2593
P00260,Fashion,Footwear,DailyKart Footwear 08,4161.84,3104.38,122,4.7,4870
P00261,Fashion,Footwear,DailyKart  Footwear  09,6350.07,3795.33,70,4.2,2609
P00262,Fashion,Footwear,Zenith Footwear 10,5373.88,4116.56,867,4.2,3956
P00263,Fashion,Footwear,DailyKart Footwear 11,4844.78,2790.5,899,3.5,1705
P00264,Fashion,Footwear,UrbanNest Footwear 12,4365.02,2368.06,668,3.7,2241
P00265,Fashion,Footwear,ByteMax Footwear 13,6201.01,4751.01,566,3.9,1529
P00266,Fashion,Footwear,FitPro Footwear 14,2463.27,1402.14,228,4.6,1893
P00267,Fashion,Footwear,NovaTech Footwear 15,5475.1,2628.93,470,4.2,3919
P00268,Fashion,Footwear,UrbanNest Footwear 16,2454.44,1692.81,593,3.5,1061
P00269,Fashion,Footwear,DailyKart Footwear 17,5920.33,4532.82,789,3.8,4847
P00270,Fashion,Footwear,Zenith Footwear 18,3290.24,2447.23,291,4.2,1709
P00271,Fashion,Footwear,ByteMax Footwear 19,4418.72,2793.38,389,3.9,1656
P00272,Fashion,Footwear,Vistara Footwear 20,4185.96,2858.43,340,4.2,4393
P00273,Fashion,Footwear,FitPro Footwear 21,3741.3,2794.97,620,4.5,1591
P00274,Fashion,Footwear,Zenith Footwear 22,2663.04,1781.02,144,4.8,4517
P00275,Fashion,Footwear,ByteMax Footwear 23,1113.88,540.97,535,4,476
P00276,Fashion,Footwear,FitPro Footwear 24,6907.43,3462.97,577,3.6,4983
P00277,Fashion,Footwear,Zenith Footwear 25,2394.19,1550.98,170,4.3,1325
P00278,Fashion,Footwear,HomeEase Footwear 26,6137.15,3523.02,493,4.7,3820
P00279,Fashion,Footwear,UrbanNest Footwear 27,5669.34,3938.78,168,3.5,932
P00280,Fashion,Footwear,HomeEase Footwear 28,4805.3,2965.28,470,3.7,2375
P00281,Fashion,Footwear,NovaTech Footwear 29,5882.1,2939.66,68,3.8,896
P00282,Fashion,Footwear,Vistara Footwear 30,3585.19,1890.5,587,4.1,3179
P00283,Fashion,Footwear,FitPro Footwear 31,6167.28,4305.82,755,4.6,2870
P00284,Fashion,Footwear,UrbanNest Footwear 32,3770.13,2598.75,580,4.8,2525
P00285,Fashion,Footwear,GlowCare Footwear 33,4884.7,3290.25,480,3.5,1008
P00286,Fashion,Footwear,DailyKart Footwear 34,1937.54,951.77,472,3.7,3033
P00287,Fashion,Footwear,Vistara Footwear 35,1858.01,1149.96,695,4.5,3939
P00288,Fashion,Footwear,DailyKart Footwear 36,6845.14,3377.18,335,4.2,4708
P00289,Fashion,Footwear,Zenith Footwear 37,1439.28,1106.53,688,3.7,2529
P00290,Fashion,Footwear,HomeEase Footwear 38,6546.67,4037.35,152,4.3,3697
P00291,Fashion,Footwear,Vistara Footwear 39,4621.78,2986.61,858,4.4,1789
P00292,Fashion,Footwear,GlowCare Footwear 40,4940.13,2442.59,229,4.6,50
P00293,Fashion,Footwear,FitPro Footwear 41,1909.55,1353.82,634,4.5,3832
P00294,Fashion,Footwear,Vistara Footwear 42,5382.99,3819.93,162,4,4204
P00295,Fashion,Bags,UrbanNest Bags 01,4454.5,3043.59,33,4.1,2887
P00296,Fashion,Bags,UrbanNest Bags 02,4024.55,3025.47,815,4.8,1964
P00297,Fashion,Bags,ByteMax Bags 03,2586.84,1852.57,39,4.9,2038
P00298,Fashion,Bags,UrbanNest Bags 04,5261.54,3815.14,851,4,4606
P00299,Fashion,Bags,ByteMax Bags 05,3473.43,2308.47,672,4.6,3184
P00300,Fashion,Bags,DailyKart Bags 06,5548.51,4169.08,715,4.4,1324
P00301,Fashion,Bags,UrbanNest Bags 07,3725.27,2811.62,959,4.6,3847
P00302,Fashion,Bags,DailyKart Bags 08,4143.46,2461.06,526,3.5,2857
P00303,Fashion,Bags,FitPro Bags 09,3428.27,1997.57,286,3.8,237
P00304,Fashion,Bags,ByteMax Bags 10,445,332.11,659,4.1,2160
P00305,Fashion,Bags,NovaTech Bags 11,5241.09,2583.29,303,4.1,1977
P00306,Fashion,Bags,Zenith Bags 12,2392.48,1756.28,113,3.9,807
