Order_Item_ID,Order_ID,Product_ID,Discount_Pct,Quantity,Unit_Price_INR,Gross_Sales_INR,Discount_Amount_INR,Net_Sales_INR,Cost_INR,Gross_Profit_INR
OI0000040,O000023,P00740,12,1,1920.29,1920.29,230.43,1689.86,1324.2,365.66
OI0000041,O000024,P00107,8.8,1,89872.81,89872.81,7908.81,81964,45504.89,36459.11
OI0000042,O000025,P00544,13.5,2,1106.65,2213.3,298.8,1914.5,1706.28,208.22
OI0000043,O000026,P00977,8.1,1,2659.8,2659.8,215.44,2444.36,1789.69,654.67
OI0000044,O000027,P00872,17.1,1,14597.11,14597.11,2496.11,12101,9414.35,2686.65
OI0000045,O000027,P00553,7.7,1,880.68,880.68,67.81,812.87,593.81,219.06
OI0000046,O000027,P00204,1.6,1,2105.83,2105.83,33.69,2072.14,1140.73,931.41
OI0000047,O000028,P00394,15.8,1,16650.36,16650.36,2630.76,14019.6,9779.31,4240.29
OI0000048,O000029,P00023,10.9,1,42952.36,42952.36,4681.81,38270.55,22236.49,16034.06
OI0000049,O000029,P00188,19.2,1,6308.74,6308.74,1211.28,5097.46,4772.97,324.49
OI0000050,O000030,P00650,8.9,2,4548.74,9097.48,809.68,8287.8,5588.42,2699.38
OI0000051,O000030,P00155,8.7,1,41001.57,41001.57,3567.14,37434.43,30373.77,7060.66
OI0000052,O000031,P00858,5,1,11714.45,11714.45,585.72,11128.73,7922.92,3205.81
OI0000053,O000031,P00263,19.1,3,4844.78,14534.34,2776.06,11758.28,8371.5,3386.78
OI0000054,O000032,P00648,17.3,1,2725.4,2725.4,471.49,2253.91,1890.97,362.94
OI0000055,O000033,P00930,10.5,1,10663.92,10663.92,1119.71,9544.21,5208.62,4335.59
OI0000056,O000033,P01001,22.7,1,8252.39,8252.39,1873.29,6379.1,6335.94,43.16
OI0000057,O000033,P00754,4,3,1438.65,4315.95,172.64,4143.31,2687.13,1456.18
OI0000058,O000034,P00439,8.7,2,14450.79,28901.58,2514.44,26387.14,19808.58,6578.56
OI0000059,O000035,P00528,15.9,3,3051.71,9155.13,1455.67,7699.46,5427.42,2272.04
OI0000060,O000036,P00529,12.3,1,5470.59,5470.59,672.88,4797.71,4249.39,548.32
OI0000061,O000037,P00372,0,2,24277.36,48554.72,0,48554.72,33872.46,14682.26
OI0000062,O000037,P00955,18.9,2,8818.29,17636.58,3333.31,14303.27,12760.48,1542.79
OI0000063,O000038,P00784,14.7,2,1270.6,2541.2,373.56,2167.64,1919.06,248.58
OI0000064,O000039,P00966,5.9,2,3183.68,6367.36,375.67,5991.69,3162.88,2828.81
OI0000065,O000040,P00118,20.9,1,37689.4,37689.4,7877.08,29812.32,26993.03,2819.29
OI0000066,O000040,P00899,17.7,3,5552.9,16658.7,2948.59,13710.11,8413.17,5296.94
OI0000067,O000041,P00258,12.1,1,4519.79,4519.79,546.89,3972.9,3140.48,832.42
OI0000068,O000041,P00400,31.3,2,2650.5,5301,1659.21,3641.79,3708.12,-66.33
OI0000069,O000041,P00656,14,1,1928.29,1928.29,269.96,1658.33,1109.79,548.54
OI0000070,O000041,P00853,8.4,1,6383.76,6383.76,536.24,5847.52,3266.99,2580.53
OI0000071,O000042,P00560,8.4,1,629.31,629.31,52.86,576.45,472.83,103.62
OI0000072,O000043,P00108,2.9,1,38267.34,38267.34,1109.75,37157.59,27327.78,9829.81
OI0000073,O000043,P00393,22.1,1,15403.96,15403.96,3404.28,11999.68,11957.48,42.2
OI0000074,O000044,P00483,6.4,1,2486.22,2486.22,159.12,2327.1,1494.81,832.29
OI0000075,O000044,P00893,23.4,2,2316.87,4633.74,1084.3,3549.44,3598.08,-48.64
OI0000076,O000045,P00039,23.2,1,53863.83,53863.83,12496.41,41367.42,30840.78,10526.64
OI0000077,O000046,P00294,1.6,2,5382.99,10765.98,172.26,10593.72,7639.86,2953.86
OI0000078,O000047,P00111,15.3,2,54571.72,109143.44,16698.95,92444.49,70059.96,22384.53
OI0000079,O000047,P00718,14,2,896.17,1792.34,250.93,1541.41,1005.5,535.91
OI0000080,O000048,P00976,8.3,1,5694.97,5694.97,472.68,5222.29,3849.05,1373.24
OI0000081,O000049,P00370,4.7,1,3393.31,3393.31,159.49,3233.82,2316.61,917.21
OI0000082,O000050,P00014,12.1,1,6607.02,6607.02,799.45,5807.57,3522.56,2285.01
OI0000083,O000051,P00369,17.2,1,18548.97,18548.97,3190.42,15358.55,11496.95,3861.6
OI0000084,O000052,P00819,6.6,1,1424.69,1424.69,94.03,1330.66,920.93,409.73
OI0000085,O000052,P00543,13.8,1,5334.8,5334.8,736.2,4598.6,2974.71,1623.89
OI0000086,O000053,P00383,16.9,1,21163.44,21163.44,3576.62,17586.82,11170.41,6416.41
OI0000087,O000054,P00163,14.2,1,868.73,868.73,123.36,745.37,418.22,327.15
OI0000088,O000054,P00477,15.6,1,6170.3,6170.3,962.57,5207.73,4468.09,739.64
OI0000089,O000054,P00098,10.2,1,4238.79,4238.79,432.36,3806.43,2309.1,1497.33
OI0000090,O000054,P00830,15,2,1645.66,3291.32,493.7,2797.62,1880.78,916.84
OI0000091,O000055,P00587,5.1,2,3732.93,7465.86,380.76,7085.1,5787,1298.1
OI0000092,O000056,P00259,0,3,4827.63,14482.89,0,14482.89,7390.35,7092.54
OI0000093,O000056,P00680,10.2,2,164.08,328.16,33.47,294.69,163.5,131.19
OI0000094,O000057,P00952,12.3,1,3207.03,3207.03,394.46,2812.57,2340.55,472.02
OI0000095,O000057,P00688,9.6,1,1064.57,1064.57,102.2,962.37,816.25,146.12
OI0000096,O000058,P00912,20.4,1,1985.45,1985.45,405.03,1580.42,1162.5,417.92
OI0000097,O000058,P00935,11.6,1,1549.35,1549.35,179.72,1369.63,1154.82,214.81
OI0000098,O000059,P00940,7.6,2,13696.88,27393.76,2081.93,25311.83,14323.24,10988.59
OI0000099,O000060,P00155,16.1,1,41001.57,41001.57,6601.25,34400.32,30373.77,4026.55
OI0000100,O000060,P00422,12.4,4,10635.85,42543.4,5275.38,37268.02,24187.2,13080.82
OI0000101,O000061,P00944,0,1,14237.92,14237.92,0,14237.92,10867.9,3370.02
OI0000102,O000061,P00808,4.7,1,533.58,533.58,25.08,508.5,298.48,210.02
OI0000103,O000061,P00489,0,2,10963.8,21927.6,0,21927.6,11479.52,10448.08
OI0000104,O000062,P00554,12.8,2,1880.66,3761.32,481.45,3279.87,2746.42,533.45
OI0000105,O000063,P00750,14.6,3,2394.17,7182.51,1048.65,6133.86,5527.71,606.15
OI0000106,O000063,P00967,35,1,8176.05,8176.05,2861.62,5314.43,6142.25,-827.82
OI0000107,O000064,P00078,21.6,2,47015.2,94030.4,20310.57,73719.83,53071.58,20648.25
OI0000108,O000064,P01000,21.4,1,4667.58,4667.58,998.86,3668.72,3629.51,39.21
OI0000109,O000065,P00526,9.3,3,5343.82,16031.46,1490.93,14540.53,10888.71,3651.82
OI0000110,O000065,P00193,5.1,2,4578.69,9157.38,467.03,8690.35,6288.04,2402.31
OI0000111,O000065,P00618,3.8,3,2444.33,7332.99,278.65,7054.34,4981.53,2072.81
OI0000112,O000065,P00111,17.4,1,54571.72,54571.72,9495.48,45076.24,35029.98,10046.26
OI0000113,O000066,P00404,1.3,1,9598.04,9598.04,124.77,9473.27,7408.87,2064.4
OI0000114,O000066,P00324,0,1,3730.98,3730.98,0,3730.98,2037.38,1693.6
OI0000115,O000067,P00903,19.9,1,8432.76,8432.76,1678.12,6754.64,5696.39,1058.25
OI0000116,O000068,P00427,11.7,2,10138.95,20277.9,2372.51,17905.39,11218.74,6686.65
OI0000117,O000069,P00830,21.6,1,1645.66,1645.66,355.46,1290.2,940.39,349.81
OI0000118,O000070,P00322,11.3,1,6272.09,6272.09,708.75,5563.34,4557.98,1005.36
OI0000119,O000071,P00526,7.2,1,5343.82,5343.82,384.76,4959.06,3629.57,1329.49
OI0000120,O000072,P00957,5.8,1,6492.57,6492.57,376.57,6116,3961.26,2154.74
OI0000121,O000073,P00514,21.4,2,1847.6,3695.2,790.77,2904.43,2711,193.43
OI0000122,O000073,P00701,0.7,1,1451.74,1451.74,10.16,1441.58,1075.4,366.18
OI0000123,O000073,P00406,12.1,1,16068.86,16068.86,1944.33,14124.53,9817.94,4306.59
OI0000124,O000074,P00963,10.1,1,10250.83,10250.83,1035.33,9215.5,7272.93,1942.57
OI0000125,O000074,P00218,7.7,1,6832.05,6832.05,526.07,6305.98,3328.66,2977.32
OI0000126,O000074,P00983,0,1,1261.89,1261.89,0,1261.89,668.36,593.53
OI0000127,O000075,P00257,4.5,1,1972.2,1972.2,88.75,1883.45,1473.51,409.94
OI0000128,O000076,P00295,16.1,1,4454.5,4454.5,717.17,3737.33,3043.59,693.74
OI0000129,O000077,P00990,22.4,1,14843.45,14843.45,3324.93,11518.52,8086.67,3431.85
OI0000130,O000077,P00341,5.5,1,24203.12,24203.12,1331.17,22871.95,14318.54,8553.41
OI0000131,O000078,P00141,23.5,1,21759.54,21759.54,5113.49,16646.05,12934,3712.05
OI0000132,O000078,P00679,16.1,1,2330.56,2330.56,375.22,1955.34,1667.76,287.58
OI0000133,O000079,P00498,1,1,3991.86,3991.86,39.92,3951.94,3023.56,928.38
OI0000134,O000079,P00711,7.6,3,2225,6675,507.3,6167.7,4380.9,1786.8
OI0000135,O000079,P00267,15.4,1,5475.1,5475.1,843.17,4631.93,2628.93,2003
OI0000136,O000080,P00120,15.2,1,43504.2,43504.2,6612.64,36891.56,29993.85,6897.71
OI0000137,O000081,P00674,13.6,1,1935.96,1935.96,263.29,1672.67,1451.05,221.62
OI0000138,O000081,P00988,12.9,1,4295.65,4295.65,554.14,3741.51,2985.99,755.52
OI0000139,O000082,P00665,6.4,1,3228.83,3228.83,206.65,3022.18,1818.27,1203.91
OI0000140,O000082,P00207,4,1,3106.28,3106.28,124.25,2982.03,2352.63,629.4
OI0000141,O000083,P00650,0,3,4548.74,13646.22,0,13646.22,8382.63,5263.59
OI0000142,O000083,P00478,10.8,1,19044.31,19044.31,2056.79,16987.52,12174.62,4812.9
OI0000143,O000084,P00542,17.4,1,2356.27,2356.27,409.99,1946.28,1708.35,237.93
OI0000144,O000084,P00041,9.3,1,55698.21,55698.21,5179.93,50518.28,42297.19,8221.09
OI0000145,O000084,P00742,8.7,1,1271.86,1271.86,110.65,1161.21,821.33,339.88
OI0000146,O000085,P00020,7.9,1,74563.13,74563.13,5890.49,68672.64,58123.56,10549.08
OI0000147,O000085,P00056,8.7,1,42889.65,42889.65,3731.4,39158.25,24745.48,14412.77
OI0000148,O000086,P00338,14.3,1,11716.41,11716.41,1675.45,10040.96,9109.07,931.89
OI0000149,O000087,P00541,5.3,3,3978.43,11935.29,632.57,11302.72,6306.03,4996.69
OI0000150,O000088,P00878,16.5,,4648.19,4648.19,766.95,3881.24,3133.78,747.46
OI0000151,O000089,P00702,9.5,4,116.74,466.96,44.36,422.6,290.44,132.16
OI0000152,O000090,P00036,10.9,1,22513.7,22513.7,2453.99,20059.71,15482.44,4577.27
OI0000153,O000091,P00452,13.2,2,5678.13,11356.26,1499.03,9857.23,8140.38,1716.85
OI0000154,O000091,P00797,4,1,1970.75,1970.75,78.83,1891.92,1088.6,803.32
OI0000155,O000092,P00211,11.7,1,6145.47,6145.47,719.02,5426.45,4730.64,695.81
OI0000156,O000093,P00703,2.8,1,1176.43,1176.43,32.94,1143.49,762.14,381.35
OI0000157,O000094,P00361,24.9,1,3324.17,3324.17,827.72,2496.45,2414.42,82.03
OI0000158,O000095,P00091,12.2,2,63742.79,127485.58,15553.24,111932.34,79220.48,32711.86
OI0000159,O000095,P00987,8,1,4610.41,4610.41,368.83,4241.58,2748.7,1492.88
OI0000160,O000096,P00110,6.1,1,75312.72,75312.72,4594.08,70718.64,52120.14,18598.5
OI0000161,O000096,P00647,16.9,1,2011.66,2011.66,339.97,1671.69,1322.38,349.31
OI0000162,O000096,P00409,0,1,10033.75,10033.75,0,10033.75,6399.4,3634.35
OI0000163,O000097,P00793,8.4,2,1335.1,2670.2,224.3,2445.9,1385.68,1060.22
OI0000164,O000097,P00473,20.3,1,7160.01,7160.01,1453.48,5706.53,4483.85,1222.68
OI0000165,O000098,P00245,5.1,3,6969.48,20908.44,1066.33,19842.11,13895.4,5946.71
OI0000166,O000098,P00519,8.2,1,5127.93,5127.93,420.49,4707.44,3209.03,1498.41
OI0000167,O000099,P00472,23,1,19250.51,19250.51,4427.62,14822.89,14909.49,-86.6
OI0000168,O000100,P00540,10.9,1,365.14,365.14,39.8,325.34,238.55,86.79
OI0000169,O000100,P00170,0,1,5452.05,5452.05,0,5452.05,3700.78,1751.27
OI0000170,O000101,P00743,27.1,3,1555.4,4666.2,1264.54,3401.66,3268.83,132.83
OI0000171,O000101,P00665,10,2,3228.83,6457.66,645.77,5811.89,3636.54,2175.35
OI0000172,O000102,P00496,19.3,1,18070.21,18070.21,3487.55,14582.66,11433.6,3149.06
OI0000173,O000103,P00955,10.3,2,8818.29,17636.58,1816.57,15820.01,12760.48,3059.53
OI0000174,O000104,P00320,17.1,1,6066.58,6066.58,1037.39,5029.19,3364.88,1664.31
OI0000175,O000104,P00975,1.6,2,11553.89,23107.78,369.72,22738.06,14852.92,7885.14
OI0000176,O000104,P00873,15.7,1,889.77,889.77,139.69,750.08,683.57,66.51
OI0000177,O000105,P00317,15.7,1,1878.96,1878.96,295,1583.96,1149.97,433.99
OI0000178,O000106,P00347,15.9,1,23742.01,23742.01,3774.98,19967.03,14293.12,5673.91
OI0000179,O000107,P00021,18,1,29023.29,29023.29,5224.19,23799.1,14968.22,8830.88
OI0000180,O000107,P00417,8.1,2,8059.94,16119.88,1305.71,14814.17,12536,2278.17
OI0000181,O000108,P00849,9.6,2,2413.13,4826.26,463.32,4362.94,3099.22,1263.72
OI0000182,O000109,P00337,13.7,1,4771.97,4771.97,653.76,4118.21,2954.48,1163.73
OI0000183,O000109,P00326,19.5,1,2728.72,2728.72,532.1,2196.62,1580.32,616.3
OI0000184,O000109,P00109,8.9,1,40586.37,40586.37,3612.19,36974.18,20588,16386.18
OI0000185,O000110,P00063,12.4,1,72428.2,72428.2,8981.1,63447.1,52006.12,11440.98
OI0000186,O000111,P00435,7.1,1,16665.82,16665.82,1183.27,15482.55,9587.96,5894.59
OI0000187,O000112,P00455,20.5,2,3294.21,6588.42,1350.63,5237.79,4864.4,373.39
OI0000188,O000113,P00260,14,1,4161.84,4161.84,582.66,3579.18,3104.38,474.8
OI0000189,O000114,P00116,9.4,1,67230.62,67230.62,6319.68,60910.94,50673.47,10237.47
OI0000190,O000115,P00630,11.5,1,5793.62,5793.62,666.27,5127.35,3016.34,2111.01
OI0000191,O000116,P00031,4.2,1,56606.85,56606.85,2377.49,54229.36,31131.82,23097.54
OI0000192,O000117,P00569,14.4,1,3807.29,3807.29,548.25,3259.04,1958.24,1300.8
OI0000193,O000117,P00788,6.4,1,883.16,883.16,56.52,826.64,673.44,153.2
OI0000194,O000117,P00035,14.4,1,8542.72,8542.72,1230.15,7312.57,5126.71,2185.86
OI0000195,O000118,P00909,8.3,1,4648.77,4648.77,385.85,4262.92,3428.09,834.83
OI0000196,O000119,P00582,12.2,1,1278.74,1278.74,156.01,1122.73,871.55,251.18
OI0000197,O000120,P00068,6.4,1,43684.91,43684.91,2795.83,40889.08,21913.47,18975.61
OI0000198,O000121,P00169,7.1,1,4138.11,4138.11,293.81,3844.3,2393.84,1450.46
OI0000199,O000121,P00746,21.5,1,1921.2,1921.2,413.06,1508.14,1458.45,49.69
OI0000200,O000122,P00962,2.4,2,4406.38,8812.76,211.51,8601.25,4349.06,4252.19
OI0000201,O000123,P00221,11.7,1,3289.59,3289.59,384.88,2904.71,1670.13,1234.58
OI0000202,O000124,P00300,5.6,1,5548.51,5548.51,310.72,5237.79,4169.08,1068.71
OI0000203,O000124,P00696,13.1,1,2275.05,2275.05,298.03,1977.02,1227.75,749.27
OI0000204,O000125,P00854,14.5,1,13848.95,13848.95,2008.1,11840.85,6795.99,5044.86
OI0000205,O000125,P00340,14.7,1,15590.75,15590.75,2291.84,13298.91,7944.23,5354.68
OI0000206,O000126,P00081,14.7,1,70810.06,70810.06,10409.08,60400.98,49532.98,10868
OI0000207,O000127,P00356,7.5,2,1048.98,2097.96,157.35,1940.61,1358.3,582.31
OI0000208,O000127,P00533,20.2,1,2710.64,2710.64,547.55,2163.09,1696.29,466.8
OI0000209,O000128,P00010,7.5,1,62923.52,62923.52,4719.26,58204.26,48390.56,9813.7
OI0000210,O000129,P00681,6,1,1763.08,1763.08,105.78,1657.3,997.47,659.83
OI0000211,O000129,P00272,6.5,3,4185.96,12557.88,816.26,11741.62,8575.29,3166.33
OI0000212,O000130,P00139,4.6,3,64361.89,193085.67,8881.94,184203.73,135783.18,48420.55
OI0000213,O000131,P00301,18.5,1,3725.27,3725.27,689.17,3036.1,2811.62,224.48
OI0000214,O000131,P00110,18,4,75312.72,301250.88,54225.16,247025.72,208480.56,38545.16
OI0000215,O000132,P00306,15.2,1,2392.48,2392.48,363.66,2028.82,1756.28,272.54
OI0000216,O000133,P00524,19.6,1,3335.15,3335.15,653.69,2681.46,2285.6,395.86
OI0000217,O000134,P00752,16.7,2,745.98,1491.96,249.16,1242.8,846.26,396.54
OI0000218,O000134,P00569,10.6,2,3807.29,7614.58,807.15,6807.43,3916.48,2890.95
OI0000219,O000134,P00450,10.4,1,3310.27,3310.27,344.27,2966,1913.42,1052.58
OI0000220,O000134,P00553,16.6,1,880.68,880.68,146.19,734.49,593.81,140.68
OI0000221,O000135,P00419,12.8,1,4226.37,4226.37,540.98,3685.39,3108,577.39
OI0000222,O000135,P00177,12.6,1,6147.22,6147.22,774.55,5372.67,4157.34,1215.33
OI0000223,O000136,P00091,19.6,1,63742.79,63742.79,12493.59,51249.2,39610.24,11638.96
OI0000224,O000136,P00693,0,3,1997.1,5991.3,0,5991.3,3040.35,2950.95
OI0000225,O000137,P00312,7.9,2,384.83,769.66,60.8,708.86,387.52,321.34
OI0000226,O000138,P00946,13.6,1,3927.21,3927.21,534.1,3393.11,2133.26,1259.85
OI0000227,O000139,P00167,15.8,1,45710.62,45710.62,7222.28,38488.34,33154.78,5333.56
OI0000228,O000139,P00356,21.2,1,1048.98,1048.98,222.38,826.6,679.15,147.45
OI0000229,O000139,P00902,2.9,3,5395.46,16186.38,469.41,15716.97,8027.28,7689.69
OI0000230,O000140,P00311,20.3,1,1380.47,1380.47,280.24,1100.23,681.15,419.08
OI0000231,O000141,P00433,9.3,1,10522,10522,978.55,9543.45,5934.72,3608.73
OI0000232,O000142,P00626,16.2,2,1226.96,2453.92,397.54,2056.38,1248.08,808.3
OI0000233,O000142,P00263,6,1,4844.78,4844.78,290.69,4554.09,2790.5,1763.59
OI0000234,O000143,P00346,19.1,1,11286.83,11286.83,2155.78,9131.05,7207.48,1923.57
OI0000235,O000143,P00017,0,1,1559.2,1559.2,0,1559.2,976.88,582.32
OI0000236,O000144,P00953,13,1,6970.88,6970.88,906.21,6064.67,4455.9,1608.77
OI0000237,O000144,P00418,15.7,1,19732.82,19732.82,3098.05,16634.77,11555.84,5078.93
OI0000238,O000144,P00613,12.8,1,3326.74,3326.74,425.82,2900.92,1916.21,984.71
OI0000239,O000145,P00376,8.8,1,18700.16,18700.16,1645.61,17054.55,13287.17,3767.38
OI0000240,O000145,P00734,5.1,1,573.08,573.08,29.23,543.85,408.12,135.73
OI0000241,O000145,P00126,23.8,1,15737.51,15737.51,3745.53,11991.98,10754.43,1237.55
OI0000242,O000146,P00209,0,2,6804.89,13609.78,0,13609.78,10458.34,3151.44
OI0000243,O000146,P00645,18.6,2,2869.14,5738.28,1067.32,4670.96,2794.26,1876.7
OI0000244,O000147,P00925,13,1,10555.76,10555.76,1372.25,9183.51,5872.4,3311.11
OI0000245,O000148,P00338,14.5,1,11716.41,11716.41,1698.88,10017.53,9109.07,908.46
OI0000246,O000149,P00035,13.6,1,8542.72,8542.72,1161.81,7380.91,5126.71,2254.2
OI0000247,O000150,P00033,9,2,82509.39,165018.78,14851.69,150167.09,126165.14,24001.95
OI0000248,O000150,P00724,9,1,2169.97,2169.97,195.3,1974.67,1394.6,580.07
OI0000249,O000150,P00803,18.4,1,1622.62,1622.62,298.56,1324.06,1170.98,153.08
OI0000250,O000150,P00082,13,1,68566.96,68566.96,8913.7,59653.26,51871.97,7781.29
OI0000251,O000151,P00998,13,1,569.08,569.08,73.98,495.1,398.34,96.76
OI0000252,O000152,P00601,0.3,1,296.54,296.54,0.89,295.65,198.75,96.9
OI0000253,O000153,P00616,8.9,1,4237.25,4237.25,377.12,3860.13,2994.47,865.66
OI0000254,O000154,P00969,9.8,2,10843.92,21687.84,2125.41,19562.43,12671.18,6891.25
OI0000255,O000154,P00676,13.5,1,2162.8,2162.8,291.98,1870.82,1680.89,189.93
OI0000256,O000155,P00908,17,2,10417.5,20835,3541.95,17293.05,15780.26,1512.79
OI0000257,O000155,P00846,14.6,2,5989.53,11979.06,1748.94,10230.12,5998.78,4231.34
OI0000258,O000155,P00210,9.9,1,2357.6,2357.6,233.4,2124.2,1320.91,803.29
OI0000259,O000156,P00909,7,2,4648.77,9297.54,650.83,8646.71,6856.18,1790.53
OI0000260,O000157,P00074,15.7,1,6519.83,6519.83,1023.61,5496.22,3463.82,2032.4
OI0000261,O000158,P00408,7.4,1,4227.23,4227.23,312.82,3914.41,2871.97,1042.44
OI0000262,O000158,P00638,2.5,2,4691.5,8387,209.68,8177.32,4547.88,3629.44
OI0000263,O000158,P00970,12.1,1,6866.52,6866.52,830.85,6035.67,4115.23,1920.44
OI0000264,O000159,P00943,22.8,1,4361.67,4361.67,994.46,3367.21,2105.76,1261.45
OI0000265,O000159,P00385,14.3,1,10006.81,10006.81,1430.97,8575.84,7573.9,1001.94
OI0000266,O000159,P00110,4.2,1,75312.72,75312.72,3163.13,72149.59,52120.14,20029.45
OI0000267,O000160,P00170,16.2,3,5452.05,16356.15,2649.7,13706.45,11102.34,2604.11
OI0000268,O000161,P00140,27.5,1,77009.38,77009.38,21177.58,55831.8,43212.35,12619.45
OI0000269,O000162,P00059,14.8,3,63913.83,191741.49,28377.74,163363.75,128151.45,35212.3
OI0000270,O000163,P00719,18.7,2,994.2,1988.4,371.83,1616.57,1178.88,437.69
OI0000271,O000163,P00544,20.7,1,1106.65,1106.65,229.08,877.57,853.14,24.43
OI0000272,O000163,P00715,25.8,1,2229.31,2229.31,575.16,1654.15,1085.45,568.7
OI0000273,O000164,P00282,13.8,2,3585.19,7170.38,989.51,6180.87,3781,2399.87
OI0000274,O000165,P00381,18.4,3,4204.07,12612.21,2320.65,10291.56,7925.43,2366.13
OI0000275,O000165,P00549,14.2,1,5297.98,5297.98,752.31,4545.67,2959.26,1586.41
OI0000276,O000166,P00904,8.8,1,14516.42,14516.42,1277.44,13238.98,10486,2752.98
OI0000277,O000166,P00300,0,1,5548.51,5548.51,0,5548.51,4169.08,1379.43
OI0000278,O000166,P00921,11.1,1,6951.47,6951.47,771.61,6179.86,3884.4,2295.46
OI0000279,O000166,P00958,10.2,1,2276.93,2276.93,232.25,2044.68,1161.34,883.34
OI0000280,O000167,P00912,19.9,2,1985.45,3970.9,790.21,3180.69,2325,855.69
OI0000281,O000167,P00075,11.3,1,16779.4,16779.4,1896.07,14883.33,9158.73,5724.6
OI0000282,O000168,P00027,20.1,1,14567.37,14567.37,2928.04,11639.33,8544.64,3094.69
OI0000283,O000168,P00105,5.2,2,28099.42,56198.84,2922.34,53276.5,34518.06,18758.44
OI0000284,O000168,P00778,13.5,1,1447.14,1447.14,195.36,1251.78,1110.23,141.55
OI0000285,O000168,P00275,10.9,2,1113.88,2227.76,242.83,1984.93,1081.94,902.99
OI0000286,O000169,P00248,10.6,1,2539.08,2539.08,269.14,2269.94,1620.38,649.56
OI0000287,O000169,P00322,14.3,1,6272.09,6272.09,896.91,5375.18,4557.98,817.2
