Delivery_ID,Order_ID,Warehouse,Shipment_Type,Promised_Days,Actual_Delivery_Days,Shipping_Cost_INR,Delivery_Status,Ship_Date
D000091,O000091,Delhi NCR,Standard,5,4,119.62,On Time,26-07-25
D000092,O000092,Kolkata,Standard,5,5,175.48,On Time,09-08-24
D000093,O000093,Delhi NCR,Standard,7,5,78.48,On Time,31-03-24
D000094,O000094,Mumbai,Standard,5,5,53.49,On Time,18-10-25
D000095,O000095,Mumbai,Express,7,3,255.71,On Time,29-11-25
D000096,O000096,Delhi NCR,Express,5,5,259.02,On Time,16-04-24
D000097,O000097,Delhi NCR,Standard,7,8,139.24,Late,28-08-25
D000098,O000098,Kolkata,Standard,3,5,219.82,Late,28-07-24
D000099,O000099,Delhi NCR,Standard,5,1,258.21,On Time,10-07-24
D000100,O000100,Hyderabad,Express,5,1,106.9,On Time,26-06-25
D000101,O000101,Bengaluru,Express,5,5,243.28,On Time,11-02-24
D000102,O000102,Hyderabad,Standard,3,3,114.82,On Time,24-04-25
D000103,O000103,Delhi NCR,Express,5,1,203.3,On Time,20-01-24
D000104,O000104,Mumbai,Standard,5,7,230.44,Late,28-10-25
D000105,O000105,Delhi NCR,Standard,7,6,205.36,On Time,11-04-25
D000106,O000106,Bengaluru,Standard,5,5,133.71,On Time,08-10-24
D000107,O000107,Delhi NCR,Standard,5,6,52.54,Late,04-04-25
D000108,O000108,Delhi NCR,Standard,5,6,62.45,Late,08-06-25
D000109,O000109,Delhi NCR,Standard,5,5,254.23,On Time,26-03-25
D000110,O000110,Bengaluru,Standard,3,6,78.01,Late,17-07-25
D000111,O000111,Bengaluru,Standard,7,1,126.57,On Time,07-04-24
D000112,O000112,Bengaluru,Standard,5,4,109.68,On Time,20-04-25
D000113,O000113,Hyderabad,Standard,5,3,84.64,On Time,10-11-24
D000114,O000114,Bengaluru,Express,5,5,76.76,On Time,13-07-25
D000115,O000115,Hyderabad,Standard,5,2,216.08,On Time,12-07-25
D000116,O000116,Hyderabad,Standard,7,5,278.09,On Time,28-04-25
D000117,O000117,Bengaluru,Express,7,4,262.17,On Time,26-11-25
D000118,O000118,Mumbai,Standard,5,7,63.03,Late,03-02-24
D000119,O000119,Kolkata,Standard,7,3,94.56,On Time,06-06-25
D000120,O000120,Delhi NCR,Standard,5,3,268.88,On Time,08-03-24
D000121,O000121,Delhi NCR,Express,5,1,86.38,On Time,27-08-24
D000122,O000122,Delhi NCR,Standard,5,5,141.72,On Time,28-04-25
D000123,O000123,Mumbai,Express,5,7,52.94,Late,02-08-24
D000124,O000124,Mumbai,Express,5,5,196.59,On Time,05-02-24
D000125,O000125,Kolkata,Express,5,5,130.69,On Time,06-03-25
D000126,O000126,Mumbai,Standard,7,2,208.93,On Time,18-04-25
D000127,O000127,Bengaluru,Standard,5,1,77.28,On Time,16-06-25
D000128,O000128,Mumbai,Standard,5,3,185.28,On Time,29-10-25
D000129,O000129,Mumbai,Standard,5,1,52.7,On Time,31-08-24
D000130,O000130,Delhi NCR,Standard,5,4,79.47,On Time,23-05-24
D000131,O000131,Mumbai,Standard,5,5,222.02,On Time,24-10-24
D000132,O000132,Delhi NCR,Standard,5,5,172,On Time,25-11-25
D000133,O000133,Bengaluru,Standard,3,2,127.33,On Time,13-07-25
D000134,O000134,Hyderabad,Standard,3,5,214.01,Late,28-03-25
D000135,O000135,Hyderabad,Standard,5,2,198.9,On Time,17-04-24
D000136,O000136,Mumbai,Standard,5,4,137.69,On Time,10-07-24
D000137,O000137,Mumbai,Standard,5,2,81.78,On Time,03-07-25
D000138,O000138,Mumbai,Standard,7,7,98.52,On Time,11-01-25
D000139,O000139,Kolkata,Express,7,2,210.29,On Time,17-05-24
D000140,O000140,Delhi NCR,Standard,5,3,249.45,On Time,18-05-25
D000141,O000141,Delhi NCR,Express,3,9,79.03,Late,06-08-25
D000142,O000142,Bengaluru,Express,7,9,244.76,Late,23-10-24
D000143,O000143,Bengaluru,Standard,7,5,222.73,On Time,08-06-24
D000144,O000144,Hyderabad,Express,5,3,199.91,On Time,04-10-25
D000145,O000145,Hyderabad,Standard,5,3,209.17,On Time,11-02-25
D000146,O000146,Kolkata,Standard,5,1,82.7,On Time,05-06-24
D000147,O000147,Hyderabad,Standard,5,4,245.22,On Time,25-08-24
D000148,O000148,Mumbai,Standard,3,4,196.96,Late,06-07-25
D000149,O000149,Delhi NCR,Standard,5,5,158.89,On Time,17-08-24
D000150,O000150,Hyderabad,Standard,5,2,41.71,On Time,26-10-25
D000151,O000151,Kolkata,Standard,5,4,179.15,On Time,03-01-25
D000152,O000152,Delhi NCR,Express,5,4,150.38,On Time,21-12-25
D000153,O000153,Mumbai,Standard,5,5,140.79,On Time,17-08-24
D000154,O000154,Delhi NCR,Standard,5,4,244.53,On Time,24-07-25
D000155,O000155,Mumbai,Express,5,7,248.69,Late,29-07-25
D000156,O000156,Mumbai,Standard,5,7,275.73,Late,18-08-25
D000157,O000157,Mumbai,Standard,5,4,66.76,On Time,28-05-24
D000158,O000158,Mumbai,Standard,5,2,166.68,On Time,31-03-24
D000159,O000159,Mumbai,Standard,5,6,234.47,Late,04-04-25
D000160,O000160,Mumbai,Standard,5,8,154.39,Late,29-08-24
D000161,O000161,Bengaluru,Standard,5,3,142.4,On Time,22-11-24
D000162,O000162,Kolkata,Standard,5,5,62.26,On Time,09-03-25
D000163,O000163,Hyderabad,Standard,5,1,40.95,On Time,19-03-25
D000164,O000164,Kolkata,Standard,5,5,81.09,On Time,11-11-24
D000165,O000165,Mumbai,Standard,5,4,241.14,On Time,14-02-24
D000166,O000166,Mumbai,Standard,5,4,61.1,On Time,19-08-25
D000167,O000167,Delhi NCR,Standard,5,4,147.51,On Time,12-02-25
D000168,O000168,Delhi NCR,Standard,3,4,184.98,Late,11-08-25
D000169,O000169,Kolkata,Standard,3,1,121.59,On Time,06-08-24
D000170,O000170,Mumbai,Standard,5,5,109.62,On Time,26-11-24
D000171,O000171,Kolkata,Express,5,5,124.7,On Time,13-09-25
D000172,O000172,Mumbai,Express,3,7,131.35,Late,12-12-25
D000173,O000173,Bengaluru,Standard,5,2,63.72,On Time,23-12-24
D000174,O000174,Kolkata,Standard,5,1,47.02,On Time,30-04-25
D000175,O000175,Hyderabad,Standard,3,1,46.83,On Time,19-12-25
D000176,O000176,Delhi NCR,Standard,5,3,102.56,On Time,14-10-24
D000177,O000177,Mumbai,Standard,7,2,234.56,On Time,11-05-24
D000178,O000178,Kolkata,Standard,5,7,137.55,Late,17-09-25
D000179,O000179,Hyderabad,Standard,3,3,159.02,On Time,07-06-24
D000180,O000180,Mumbai,Standard,5,5,138.37,On Time,10-12-25
D000181,O000181,Kolkata,Standard,5,3,97.81,On Time,26-11-24
D000182,O000182,Delhi NCR,Standard,7,4,113.87,On Time,05-06-24
D000183,O000183,Mumbai,Standard,5,10,127,Late,29-04-25
D000184,O000184,Hyderabad,Standard,5,11,158.03,Late,30-03-25
D000185,O000185,Mumbai,Standard,3,2,193.53,On Time,28-12-25
D000186,O000186,Hyderabad,Express,3,5,247.15,Late,28-09-24
D000187,O000187,Hyderabad,Standard,5,4,38.49,On Time,12-04-24
D000188,O000188,Bengaluru,Express,7,4,225.32,On Time,22-12-24
D000189,O000189,Bengaluru,Standard,5,5,60.29,On Time,06-08-24
D000190,O000190,Delhi NCR,Standard,3,5,75.67,Late,19-10-25
D000191,O000191,Bengaluru,Standard,5,5,261.91,On Time,10-10-24
D000192,O000192,Bengaluru,Standard,5,3,42.87,On Time,23-10-24
D000193,O000193,Kolkata,Standard,5,6,151.63,Late,05-07-24
D000194,O000194,Mumbai,Standard,5,1,191.64,On Time,27-01-24
D000195,O000195,Mumbai,Express,5,7,116.38,Late,10-12-24
D000196,O000196,Mumbai,Standard,5,8,243.92,Late,13-12-25
D000197,O000197,Delhi NCR,Standard,7,7,92.62,On Time,30-07-25
D000198,O000198,Hyderabad,Standard,3,8,118.91,Late,10-09-24
D000199,O000199,Mumbai,Standard,3,4,259.76,Late,28-04-25
D000200,O000200,Bengaluru,Express,3,4,263.92,Late,09-08-25
D000201,O000201,Delhi NCR,Standard,5,4,235.95,On Time,13-10-24
D000202,O000202,Hyderabad,Standard,7,8,65.73,Late,02-12-25
D000203,O000203,Bengaluru,Standard,5,2,117.68,On Time,26-11-25
D000204,O000204,Delhi NCR,Standard,7,1,226.03,On Time,13-03-25
D000205,O000205,Bengaluru,Standard,5,6,273.07,Late,10-05-24
D000206,O000206,Delhi NCR,Express,5,9,92.22,Late,31-05-25
D000207,O000207,Bengaluru,Standard,5,6,255.59,Late,29-06-25
D000208,O000208,Mumbai,Standard,3,8,66.92,Late,28-03-24
D000209,O000209,Bengaluru,Express,5,8,55.67,Late,19-01-24
D000210,O000210,Kolkata,Standard,3,4,276.09,Late,01-07-24
D000211,O000211,Kolkata,Standard,5,4,190.35,Late,13-07-25
D000212,O000212,Mumbai,Express,5,4,168.22,On Time,19-07-25
D000213,O000213,Bengaluru,Standard,5,5,175.67,On Time,21-10-24
D000214,O000214,Hyderabad,Standard,5,9,247.87,Late,01-01-26
D000215,O000215,Delhi NCR,Express,5,5,107.8,On Time,01-12-24
D000216,O000216,Delhi NCR,Standard,5,5,259.85,On Time,01-10-25
D000217,O000217,Delhi NCR,Standard,3,4,54.85,Late,29-12-24
D000218,O000218,Bengaluru,Standard,5,7,256.73,Late,10-12-25
D000219,O000219,Kolkata,Standard,7,6,155.06,On Time,06-11-25
D000220,O000220,Mumbai,Standard,3,4,265.97,Late,08-05-24
D000221,O000221,Delhi NCR,Standard,5,4,227.78,On Time,02-06-25
D000222,O000222,Mumbai,Standard,3,7,241.29,Late,20-05-24
D000223,O000223,Mumbai,Standard,5,3,184.91,On Time,16-08-24
D000224,O000224,Hyderabad,Standard,7,7,253.55,On Time,14-03-25
D000225,O000225,Bengaluru,Standard,5,5,205.53,On Time,08-11-25
D000226,O000226,Delhi NCR,Standard,5,8,146.7,Late,14-09-24
D000227,O000227,Bengaluru,Standard,7,5,77.77,On Time,15-05-25
D000228,O000228,Kolkata,Standard,3,2,198.11,On Time,07-10-25
D000229,O000229,Delhi NCR,Standard,5,7,153.98,Late,16-08-24
D000230,O000230,Mumbai,Standard,7,4,237.8,On Time,19-02-25
D000231,O000231,Mumbai,Standard,5,4,65.47,On Time,15-08-24
D000232,O000232,Bengaluru,Standard,5,6,98.56,Late,25-11-25
D000233,O000233,Hyderabad,Standard,5,2,192.21,On Time,26-05-24
D000234,O000234,Bengaluru,Express,3,9,65.98,Late,13-04-24
D000235,O000235,Hyderabad,Standard,5,7,162.05,Late,15-01-25
D000236,O000236,Delhi NCR,Standard,5,3,148.26,On Time,25-02-24
D000237,O000237,Bengaluru,Express,7,4,163.46,On Time,22-08-24
D000238,O000238,Kolkata,Standard,7,7,279.25,On Time,03-05-24
D000239,O000239,Kolkata,Standard,3,4,85.29,Late,10-09-24
D000240,O000240,Bengaluru,Express,5,6,235.1,Late,12-08-25
D000241,O000241,Delhi NCR,Standard,5,1,128.09,On Time,01-02-24
D000242,O000242,Delhi NCR,Express,5,6,199.26,Late,24-04-24
D000243,O000243,Bengaluru,Standard,5,3,273.91,On Time,10-05-25
D000244,O000244,Mumbai,Standard,5,5,164.75,On Time,15-04-24
D000245,O000245,Kolkata,Standard,5,3,213.3,On Time,07-10-24
D000246,O000246,Mumbai,Standard,7,4,245.98,On Time,11-11-25
D000247,O000247,Mumbai,Standard,5,3,276.87,On Time,24-10-25
D000248,O000248,Delhi NCR,Standard,5,7,68.37,Late,15-09-25
D000249,O000249,Mumbai,Express,7,2,177.8,On Time,11-05-24
D000250,O000250,Mumbai,Standard,5,8,151.58,Late,21-03-24
D000251,O000251,Hyderabad,Standard,3,3,58.36,On Time,04-04-25
D000252,O000252,Kolkata,Standard,5,6,270.64,Late,12-08-25
D000253,O000253,Bengaluru,Express,5,2,244.64,On Time,04-12-25
D000254,O000254,Bengaluru,Express,7,4,139.98,On Time,17-04-24
D000255,O000255,Delhi NCR,Standard,5,6,79.22,Late,25-11-25
D000256,O000256,Mumbai,Standard,7,4,70.35,On Time,06-01-24
D000257,O000257,Delhi NCR,Standard,7,3,175.88,On Time,26-08-25
D000258,O000258,Delhi NCR,Standard,7,4,88.73,On Time,15-10-24
D000259,O000259,Mumbai,Standard,7,4,67.05,On Time,14-05-24
D000260,O000260,Hyderabad,Standard,5,7,212.9,Late,10-06-24
D000261,O000261,Bengaluru,Standard,3,10,272.84,Late,02-11-24
D000262,O000262,Delhi NCR,Standard,5,5,268.42,On Time,28-10-24
D000263,O000263,Mumbai,Standard,5,5,160.15,On Time,12-11-25
D000264,O000264,Kolkata,Standard,5,8,216.27,Late,07-06-25
D000265,O000265,Hyderabad,Standard,5,4,175.83,On Time,28-08-24
D000266,O000266,Bengaluru,Standard,5,6,85.1,Late,16-11-25
D000267,O000267,Mumbai,Standard,5,12,198.34,Late,27-07-25
D000268,O000268,Bengaluru,Standard,5,8,229.23,Late,19-10-25
D000269,O000269,Bengaluru,Standard,5,1,256.14,On Time,18-10-25
D000270,O000270,Kolkata,Standard,3,4,144.07,Late,16-03-24
D000271,O000271,Hyderabad,Standard,7,9,199.27,Late,17-11-24
D000272,O000272,Delhi NCR,Standard,5,4,35.93,On Time,31-12-24
D000273,O000273,Delhi NCR,Standard,5,1,93.39,On Time,27-04-24
D000274,O000274,Hyderabad,Express,5,1,205.55,On Time,23-03-24
D000275,O000275,Bengaluru,Standard,5,6,43.1,Late,06-04-25
D000276,O000276,Bengaluru,Standard,5,5,268.63,On Time,08-08-24
D000277,O000277,Delhi NCR,Standard,5,5,97.35,On Time,20-08-24
D000278,O000278,Bengaluru,Standard,5,12,168.31,Late,13-08-24
D000279,O000279,Hyderabad,Express,5,7,148.97,Late,23-06-24
D000280,O000280,Delhi NCR,Express,7,5,130.22,On Time,21-09-25
D000281,O000281,Delhi NCR,Standard,5,1,248.7,On Time,26-12-24
D000282,O000282,Bengaluru,Standard,7,1,88.64,On Time,02-05-25
D000283,O000283,Kolkata,Standard,5,3,211.66,On Time,17-07-25
D000284,O000284,Bengaluru,Standard,5,1,156.16,On Time,22-07-25
D000285,O000285,Bengaluru,Standard,7,6,268.77,On Time,01-10-24
D000286,O000286,Delhi NCR,Standard,7,1,124.7,On Time,21-04-24
D000287,O000287,Mumbai,Express,5,4,201.83,On Time,28-10-24
D000288,O000288,Mumbai,Standard,5,6,137.63,Late,02-06-25
D000289,O000289,Bengaluru,Standard,5,4,233.17,On Time,03-03-25
D000290,O000290,Hyderabad,Standard,5,5,180.47,On Time,02-01-26
D000291,O000291,Delhi NCR,Standard,5,5,55.5,On Time,08-07-24
D000292,O000292,Bengaluru,Standard,7,4,172.59,On Time,25-06-24
D000293,O000293,Bengaluru,Standard,5,3,253.25,On Time,31-07-24
D000294,O000294,Mumbai,Standard,5,3,110.82,On Time,17-07-25
D000295,O000295,Hyderabad,Standard,5,6,272.6,Late,10-02-25
D000296,O000296,Mumbai,Standard,7,4,192.53,On Time,12-06-25
D000297,O000297,Hyderabad,Standard,7,9,196.18,Late,30-03-24
D000298,O000298,Kolkata,Standard,5,4,174.04,On Time,16-06-24
D000299,O000299,Delhi NCR,Standard,5,3,269.64,On Time,07-02-24
D000300,O000300,Delhi NCR,Standard,7,2,195.2,On Time,06-12-24
D000301,O000301,Mumbai,Standard,7,10,253.7,Late,29-06-25
D000302,O000302,Bengaluru,Standard,7,1,159.5,On Time,19-06-24
D000303,O000303,Hyderabad,Express,5,3,211.14,On Time,29-07-24
D000304,O000304,Kolkata,Standard,5,1,244.16,On Time,13-12-24
D000305,O000305,Mumbai,Standard,3,7,133.8,Late,10-09-24
D000306,O000306,Delhi NCR,Express,5,2,166.52,On Time,27-05-25
D000307,O000307,Mumbai,Standard,5,5,249.1,On Time,08-07-25
D000308,O000308,Mumbai,Standard,5,2,151.68,On Time,27-05-24
D000309,O000309,Delhi NCR,Standard,5,5,226.85,On Time,18-06-25
D000310,O000310,Mumbai,Standard,5,7,154.83,Late,10-07-24
D000311,O000311,Hyderabad,Standard,7,3,126.25,On Time,28-12-25
D000312,O000312,Delhi NCR,Express,3,1,66.11,On Time,23-02-25
D000313,O000313,Bengaluru,Standard,5,4,220.42,On Time,08-08-25
D000314,O000314,Bengaluru,Standard,5,5,60.58,On Time,28-08-24
D000315,O000315,Delhi NCR,Standard,5,4,70.42,On Time,08-05-25
D000316,O000316,Mumbai,Standard,7,4,131.61,On Time,02-03-24
D000317,O000317,Hyderabad,Express,3,5,146.5,Late,24-12-25
D000318,O000318,Delhi NCR,Standard,5,5,48.01,On Time,12-05-25
D000319,O000319,Hyderabad,Standard,3,3,95.15,On Time,16-12-24
D000320,O000320,Hyderabad,Standard,5,5,81.17,On Time,05-08-24
D000321,O000321,Delhi NCR,Standard,7,6,213.22,On Time,15-08-25
D000322,O000322,Kolkata,Standard,7,2,207.8,On Time,24-10-25
D000323,O000323,Mumbai,Standard,5,6,171.71,Late,17-03-25
D000324,O000324,Mumbai,Standard,5,7,206.07,Late,31-12-24
D000325,O000325,Hyderabad,Standard,5,5,58.78,On Time,13-10-24
D000326,O000326,Mumbai,Express,5,4,123.03,On Time,16-02-24
D000327,O000327,Hyderabad,Standard,7,4,212.44,On Time,09-04-24
D000328,O000328,Kolkata,Standard,5,2,210.53,On Time,19-08-25
D000329,O000329,Kolkata,Standard,5,2,205,On Time,04-04-25
D000330,O000330,Unknown,Standard,5,3,124.08,On Time,27-11-24
D000331,O000331,Bengaluru,Standard,3,3,173.63,On Time,27-04-25
D000332,O000332,Delhi NCR,Standard,7,5,136.31,On Time,10-09-25
D000333,O000333,Delhi NCR,Standard,5,3,186.41,On Time,14-04-25
D000334,O000334,Bengaluru,Standard,3,4,137.6,Late,28-12-24
D000335,O000335,Hyderabad,Standard,5,5,106.61,On Time,31-10-24
D000336,O000336,Bengaluru,Standard,5,1,102.8,On Time,31-10-24
D000337,O000337,Hyderabad,Standard,5,1,206.42,On Time,15-09-24
D000338,O000338,Hyderabad,Standard,3,3,139.92,On Time,12-03-25
D000339,O000339,Hyderabad,Standard,5,1,235.65,On Time,27-04-25
D000340,O000340,Delhi NCR,Standard,5,2,35.49,On Time,10-09-24
D000341,O000341,Mumbai,Standard,3,5,181.09,Late,29-05-24
D000342,O000342,Bengaluru,Standard,5,7,164.81,Late,05-05-25
D000343,O000343,Hyderabad,Express,5,7,192.07,Late,19-03-25
D000344,O000344,Delhi NCR,Express,5,5,193.58,On Time,27-06-24
D000345,O000345,Mumbai,Standard,5,4,95.43,Late,03-04-25
D000346,O000346,Hyderabad,Standard,5,10,181.11,Late,16-10-25
D000347,O000347,Delhi NCR,Standard,5,2,206.75,On Time,17-11-25
D000348,O000348,Hyderabad,Standard,5,6,251.11,Late,01-06-24
D000349,O000349,Bengaluru,Standard,5,4,179.54,On Time,11-06-25
D000350,O000350,Mumbai,Standard,7,8,135.02,Late,30-12-24
D000351,O000351,Delhi NCR,Standard,5,9,201.52,Late,19-07-24
D000352,O000352,Kolkata,Standard,5,4,39.96,On Time,04-09-24
D000353,O000353,Delhi NCR,Standard,5,3,109.73,On Time,04-04-25
D000354,O000354,Kolkata,Standard,5,5,90.49,On Time,15-04-24
D000355,O000355,Mumbai,Express,5,2,56.19,On Time,16-12-24
D000356,O000356,Bengaluru,Standard,5,3,105.17,On Time,24-07-24
D000357,O000357,Hyderabad,Standard,3,2,269.99,On Time,19-09-24
D000358,O000358,Hyderabad,Standard,7,1,101.66,On Time,08-01-25
D000359,O000359,Hyderabad,Express,5,3,100.98,On Time,21-08-24
D000360,O000360,Hyderabad,Standard,3,8,260.85,Late,12-11-24
D000361,O000361,Hyderabad,Standard,5,7,64.63,Late,07-03-25
D000362,O000362,Delhi NCR,Standard,5,6,276.69,Late,01-05-24
D000363,O000363,Hyderabad,Standard,5,7,138.83,Late,23-10-25
D000364,O000364,Hyderabad,Standard,5,6,197.76,Late,04-05-24
D000365,O000365,Delhi NCR,Standard,5,2,238.55,On Time,19-01-24
D000366,O000366,Mumbai,Express,7,2,232.11,On Time,06-06-24
D000367,O000367,Hyderabad,Standard,5,8,250.88,Late,02-05-25
D000368,O000368,Hyderabad,Standard,5,7,46.33,Late,11-06-24
D000369,O000369,Mumbai,Standard,5,1,138.83,On Time,17-01-25
D000370,O000370,Mumbai,Standard,3,6,178.99,Late,01-05-25
D000371,O000371,Bengaluru,Standard,7,5,141.7,On Time,06-01-24
D000372,O000372,Hyderabad,Standard,5,4,51.36,On Time,10-07-25
D000373,O000373,Hyderabad,Standard,5,3,163.13,On Time,13-04-24
D000374,O000374,Mumbai,Standard,3,2,59.36,On Time,28-06-24
D000375,O000375,Bengaluru,Standard,3,4,157.25,Late,28-12-24
D000376,O000376,Kolkata,Standard,3,4,211.03,Late,20-05-24
D000377,O000377,Mumbai,Standard,5,4,64.33,On Time,12-07-25
D000378,O000378,Bengaluru,Standard,5,4,55.49,On Time,09-09-25
D000379,O000379,Kolkata,Standard,3,8,245.89,Late,27-06-24
D000380,O000380,Mumbai,Standard,5,6,42.42,Late,02-09-24
