Customer_ID,Age,City,State,Gender,Customer_Tier,Signup_Date,Acquisition_Channel,Preferred_Device
C00037,30,Thiruvananthapuram,Kerala,Male,Loyal,13-03-23,Affiliate,Mobile
C00038,24,Jodhpur,Rajasthan,Female,Regular,25-12-25,Organic,Mobile
C00039,27,Nashik,Maharashtra,Male,Loyal,18-04-23,Paid Search,Tablet
C00040,34,Hyderabad,Telangana,Male,Regular,23-01-25,Referral,Mobile
C00041,31,Salem,Tamil Nadu,Female,New,23-01-24,Social Media,Mobile
C00042,32,Delhi,Delhi,Male,New,22-06-24,Social Media,Mobile
C00043,24,Mangaluru,Karnataka,Male,Regular,12-07-25,Email,Mobile
C00044,42,Coimbatore,Tamil Nadu,Male,Regular,21-06-25,Referral,Mobile
C00045,35,Warangal,Telangana,Female,Regular,24-12-23,Organic,Mobile
C00046,26,Warangal,Telangana,Male,Regular,13-02-24,Referral,Mobile
C00047,18,Mangaluru,Karnataka,Male,New,03-12-23,Email,Mobile
C00048,44,Lucknow,Uttar Pradesh,Female,New,19-11-24,Paid Search,Mobile
C00049,34,Durgapur,West Bengal,Female,Regular,29-05-23,Referral,Desktop
C00050,29,Warangal,Telangana,Male,Loyal,13-04-24,Organic,Desktop
C00051,25,Amritsar,Punjab,Male,New,01-07-24,Organic,Mobile
C00052,32,Rourkela,Odisha,Female,New,02-04-24,Organic,Mobile
C00053,27,Kanpur,Uttar Pradesh,Male,Loyal,19-03-23,Affiliate,Mobile
C00054,30,Ahmedabad,Gujarat,Male,Regular,18-09-23,Email,Mobile
C00055,27,Hubballi,Karnataka,Male,Regular,20-07-25,Organic,Desktop
C00056,34,Nagpur,Maharashtra,Female,New,08-04-23,Email,Mobile
C00057,37,Muzaffarpur,Bihar,Female,Loyal,17-10-24,Email,Mobile
C00058,27,Pune,Maharashtra,Male,VIP,15-03-25,Referral,Mobile
C00059,39,Mangaluru,Karnataka,Female,Regular,23-10-24,Organic,Mobile
C00060,35,Faridabad,Haryana,Female,Regular,21-03-24,Affiliate,Mobile
C00061,26,Nagpur,Maharashtra,Male,Regular,18-07-25,Referral,Mobile
C00062,30,Udaipur,Rajasthan,Male,New,01-01-24,Organic,Mobile
C00063,44,Durgapur,West Bengal,Female,New,26-07-23,Organic,Mobile
C00064,41,Muzaffarpur,Bihar,Male,New,26-04-25,Organic,Mobile
C00065,54,Amritsar,Punjab,Male,Regular,24-12-24,Organic,Desktop
C00066,25,Kochi,Kerala,Female,Regular,03-10-25,Email,Desktop
C00067,28,Gwalior,Madhya Pradesh,Male,New,13-02-24,Affiliate,Mobile
C00068,32,Jodhpur,Rajasthan,Male,New,18-11-24,Organic,Mobile
C00069,18,Gaya,Bihar,Male,Regular,29-05-25,Paid Search,Mobile
C00070,25,Bhagalpur,Bihar,Female,Regular,03-09-23,Social Media,Desktop
C00071,46,Siliguri,West Bengal,Female,New,19-03-24,Affiliate,Desktop
C00072,37,Durgapur,West Bengal,Male,Regular,02-02-23,Organic,Mobile
C00073,18,Salem,Tamil Nadu,Male,New,17-06-24,Organic,Mobile
C00074,44,Bhagalpur,Bihar,Male,Regular,07-03-24,Organic,Mobile
C00075,34,Mangaluru,Karnataka,Female,New,12-10-24,Email,Desktop
C00076,51,Durgapur,West Bengal,Male,VIP,23-12-25,Email,Mobile
C00077,34,Kota,Rajasthan,Male,Regular,05-01-23,Referral,Desktop
C00078,40,Nagpur,Maharashtra,Female,Regular,27-05-24,Affiliate,Mobile
C00079,33,Bhubaneswar,Odisha,Female,New,11-05-24,Organic,Mobile
C00080,24,Varanasi,Uttar Pradesh,Other,New,09-06-24,Affiliate,Mobile
C00081,26,Patna,Bihar,Male,Regular,10-01-25,Paid Search,Mobile
C00082,26,Surat,Gujarat,Male,Regular,05-04-25,Organic,Desktop
C00083,26,Ahmedabad,Gujarat,Female,New,16-10-24,Paid Search,Mobile
C00084,20,Delhi,Delhi,Female,Regular,20-10-24,Email,Mobile
C00085,31,Coimbatore,Tamil Nadu,Female,Loyal,28-10-24,Organic,Mobile
C00086,29,Delhi,Delhi,Male,Loyal,04-07-23,Paid Search,Mobile
C00087,18,Hyderabad,Telangana,Male,Regular,08-01-25,Email,Mobile
C00088,27,Hubballi,Karnataka,Male,New,15-02-23,Email,Mobile
C00089,19,Salem,Tamil Nadu,Female,Regular,28-10-25,Paid Search,Mobile
C00090,18,Varanasi,Uttar Pradesh,Male,New,14-02-24,Email,Mobile
C00091,18,Gwalior,Madhya Pradesh,Male,Regular,10-04-24,Social Media,Desktop
C00092,18,Kanpur,Uttar Pradesh,Female,Loyal,30-12-24,Paid Search,Mobile
C00093,29,Salem,Tamil Nadu,Male,Regular,19-02-23,Organic,Mobile
C00094,41,Ludhiana,Punjab,Male,Regular,11-07-24,Email,Mobile
C00095,36,Madurai,Tamil Nadu,Female,Loyal,13-08-24,Email,Mobile
C00096,25,Mangaluru,Karnataka,Female,Regular,07-09-23,Affiliate,Tablet
C00097,25,Muzaffarpur,Bihar,Other,New,14-02-25,Paid Search,Desktop
C00098,31,Bhagalpur,Bihar,Female,Regular,09-07-24,Organic,Mobile
C00099,32,Bhopal,Madhya Pradesh,Female,Loyal,18-12-23,Paid Search,Tablet
C00100,18,Thiruvananthapuram,Kerala,Female,VIP,10-11-23,Affiliate,Tablet
C00101,36,Kolkata,West Bengal,Male,New,04-11-25,Organic,Mobile
C00102,41,Mumbai,Maharashtra,Female,Regular,31-01-25,Paid Search,Mobile
C00103,27,Rajkot,Gujarat,Male,Regular,21-05-25,Email,Mobile
C00104,41,Indore,Madhya Pradesh,Male,VIP,10-03-23,Organic,Desktop
C00105,38,Kanpur,Uttar Pradesh,Female,Regular,19-11-24,Social Media,Tablet
C00106,21,Kota,Rajasthan,Male,Loyal,01-03-23,Email,Mobile
C00107,21,Mangaluru,Karnataka,Female,New,03-08-24,Social Media,Desktop
C00108,24,Rourkela,Odisha,Female,VIP,13-08-24,Organic,Mobile
C00109,18,Nashik,Maharashtra,Male,VIP,30-10-24,Paid Search,Desktop
C00110,44,Bhagalpur,Bihar,Female,Loyal,28-01-23,Referral,Mobile
C00111,19,Bhubaneswar,Odisha,Female,Regular,26-08-23,Referral,Mobile
C00112,21,Noida,Uttar Pradesh,Male,New,06-05-23,Paid Search,Mobile
C00113,38,Delhi,Delhi,Male,Loyal,27-11-23,Social Media,Mobile
C00114,43,Jaipur,Rajasthan,Female,Regular,07-11-23,Email,Desktop
C00115,18,Delhi,Delhi,Male,Regular,10-10-25,Social Media,Mobile
C00116,27,Mysuru,Karnataka,Male,Loyal,12-05-24,Affiliate,Mobile
C00117,39,Lucknow,Uttar Pradesh,Male,Regular,15-05-23,Organic,Mobile
C00118,24,Kochi,Kerala,Female,New,11-03-25,Referral,Mobile
C00119,24,Siliguri,West Bengal,Female,New,30-03-25,Email,Mobile
C00120,38,Pune,Maharashtra,Female,New,31-01-25,Email,Mobile
C00121,31,Warangal,Telangana,Female,Regular,18-06-25,Paid Search,Desktop
C00122,29,Madurai,Tamil Nadu,Female,Regular,26-04-25,Paid Search,Tablet
C00123,41,Gwalior,Madhya Pradesh,Female,VIP,08-10-24,Paid Search,Mobile
C00124,26,Bengaluru,Karnataka,Male,VIP,26-10-24,Social Media,Mobile
C00125,33,Nashik,Maharashtra,Other,VIP,24-10-23,Social Media,Mobile
C00126,22,Varanasi,Uttar Pradesh,Male,Loyal,27-12-25,Paid Search,Desktop
C00127,30,Kanpur,Uttar Pradesh,Male,Regular,09-02-24,Organic,Mobile
C00128,36,Vadodara,Gujarat,Female,Loyal,06-04-23,Referral,Mobile
C00129,27,Lucknow,Uttar Pradesh,Male,Regular,16-10-24,Organic,Desktop
C00130,22,New Delhi,Delhi,Female,Regular,21-09-24,Affiliate,Mobile
C00131,19,Gaya,Bihar,Female,Loyal,10-10-25,Paid Search,Mobile
C00132,28,Coimbatore,Tamil Nadu,Male,New,08-08-24,Paid Search,Desktop
C00133,25,Surat,Gujarat,Female,VIP,02-11-23,Organic,Desktop
C00134,44,Hubballi,Karnataka,Female,Regular,08-03-25,Organic,Mobile
C00135,18,Kanpur,Uttar Pradesh,Female,VIP,28-10-25,Social Media,Mobile
C00136,20,Nagpur,Maharashtra,Male,Loyal,20-09-24,Organic,Mobile
C00137,35,Panipat,Haryana,Male,Regular,05-12-24,Social Media,Mobile
C00138,24,Kanpur,Uttar Pradesh,Female,Loyal,27-12-25,Organic,Desktop
C00139,39,Salem,Tamil Nadu,Female,New,15-01-23,Social Media,Desktop
C00140,40,Madurai,Tamil Nadu,Female,Regular,26-10-24,Organic,Desktop
C00141,41,Chennai,Tamil Nadu,Male,Regular,25-07-23,Paid Search,Mobile
C00142,33,Muzaffarpur,Bihar,Male,New,05-03-24,Paid Search,Mobile
C00143,34,Hyderabad,Telangana,Female,New,26-11-25,Organic,Mobile
C00144,32,New Delhi,Delhi,Female,VIP,18-04-23,Social Media,Desktop
C00145,33,Kanpur,Uttar Pradesh,Female,Loyal,18-05-23,Email,Mobile
C00146,33,Jalandhar,Punjab,Male,Regular,07-10-24,Paid Search,Mobile
C00147,26,Gwalior,Madhya Pradesh,Female,Regular,28-12-24,Paid Search,Mobile
C00148,35,Warangal,Telangana,Female,New,05-12-25,Organic,Mobile
C00149,18,Mysuru,Karnataka,Female,Loyal,14-08-24,Organic,Desktop
C00150,43,Thiruvananthapuram,Kerala,Male,Loyal,06-07-25,Organic,Desktop
C00151,26,New Delhi,Delhi,Male,New,10-11-24,Organic,Desktop
C00152,30,Hubballi,Karnataka,Female,Loyal,01-12-25,Organic,Mobile
C00153,47,Nagpur,Maharashtra,Female,Loyal,24-05-23,Social Media,Mobile
C00154,39,Nagpur,Maharashtra,Male,Regular,15-06-25,Paid Search,Mobile
C00155,21,Patna,Bihar,Male,New,10-09-24,Email,Desktop
C00156,36,Jalandhar,Punjab,Female,Loyal,11-03-24,Email,Desktop
C00157,22,Kochi,Kerala,Female,Regular,11-04-24,Organic,Mobile
C00158,49,Rajkot,Gujarat,Male,Regular,06-05-24,Email,Mobile
C00159,19,Ahmedabad,Gujarat,Male,New,16-06-25,Organic,Tablet
C00160,29,Indore,Madhya Pradesh,Female,New,15-11-25,Paid Search,Mobile
C00161,30,Kochi,Kerala,Female,Regular,18-08-23,Referral,Desktop
C00162,25,Nashik,Maharashtra,Female,Regular,09-09-24,Affiliate,Desktop
C00163,37,Warangal,Telangana,Male,Regular,25-02-24,Paid Search,Mobile
C00164,38,New Delhi,Delhi,Male,Loyal,04-02-25,Referral,Mobile
C00165,29,Nashik,Maharashtra,Male,Regular,27-07-25,Paid Search,Mobile
C00166,27,Kolkata,West Bengal,Female,New,01-02-25,Social Media,Desktop
C00167,30,Gwalior,Madhya Pradesh,Male,New,18-07-23,Affiliate,Mobile
C00168,34,Bhubaneswar,Odisha,Male,New,04-02-25,Referral,Desktop
C00169,38,Hubballi,Karnataka,Male,Regular,31-01-25,Social Media,Mobile
C00170,31,Bengaluru,Karnataka,Male,VIP,09-06-24,Organic,Mobile
C00171,40,Durgapur,West Bengal,Female,Regular,19-01-23,Paid Search,Desktop
C00172,32,Mangaluru,Karnataka,Male,Regular,12-01-23,Affiliate,Mobile
C00173,33,Jodhpur,Rajasthan,Female,Regular,12-07-23,Organic,Mobile
C00174,32,Surat,Gujarat,Female,VIP,14-02-23,Affiliate,Desktop
C00175,31,Delhi,Delhi,Female,VIP,31-12-24,Paid Search,Mobile
C00176,19,Bhubaneswar,Odisha,Male,Loyal,08-04-23,Organic,Desktop
C00177,38,Bengaluru,Karnataka,Female,Regular,07-02-23,Social Media,Mobile
C00178,35,Delhi,Delhi,Female,Loyal,08-04-23,Referral,Mobile
C00179,30,Mumbai,Maharashtra,Male,Regular,24-06-24,Social Media,Mobile
C00180,18,Rajkot,Gujarat,Male,Regular,03-08-23,Email,Desktop
C00181,26,Kota,Rajasthan,Female,VIP,04-12-23,Organic,Mobile
C00182,29,Rajkot,Gujarat,Female,Regular,31-05-23,Referral,Mobile
C00183,30,Unknown,Bihar,Male,Regular,21-02-24,Organic,Desktop
C00184,28,Kota,Rajasthan,Female,Regular,13-05-25,Social Media,Mobile
C00185,28,Mumbai,Maharashtra,Female,New,09-05-25,Referral,Desktop
C00186,34,Rajkot,Gujarat,Male,New,31-10-25,Paid Search,Mobile
C00187,23,Vadodara,Gujarat,Female,Regular,18-02-24,Paid Search,Desktop
C00188,39,Hyderabad,Telangana,Male,Loyal,12-02-24,Referral,Mobile
C00189,37,Delhi,Delhi,Female,Regular,17-02-23,Social Media,Desktop
C00190,39,Pune,Maharashtra,Male,New,18-01-23,Social Media,Mobile
C00191,34,Nashik,Maharashtra,Male,Loyal,09-03-25,Organic,Mobile
C00192,21,Delhi,Delhi,Male,Regular,14-06-24,Organic,Mobile
C00193,44,Faridabad,Haryana,Male,Regular,17-06-25,Affiliate,Mobile
C00194,40,Varanasi,Uttar Pradesh,Male,New,05-07-25,Organic,Desktop
C00195,26,Jaipur,Rajasthan,Female,Regular,06-10-23,Email,Mobile
C00196,21,Bengaluru,Karnataka,Male,New,24-03-23,Paid Search,Mobile
C00197,34,Vadodara,Gujarat,Male,Regular,03-04-25,Affiliate,Mobile
C00198,18,Bhagalpur,Bihar,Male,Regular,07-06-24,Affiliate,Desktop
C00199,18,Ahmedabad,Gujarat,Female,Regular,17-07-24,Organic,Desktop
C00200,25,Kozhikode,Kerala,Female,Regular,16-03-24,Email,Desktop
C00201,24,Kota,Rajasthan,Female,Regular,08-03-23,Organic,Mobile
C00202,22,Nashik,Maharashtra,Male,VIP,01-08-23,Organic,Mobile
C00203,24,New Delhi,Delhi,Male,Regular,04-12-25,Organic,Mobile
C00204,28,Muzaffarpur,Bihar,Male,New,24-09-24,Email,Mobile
C00205,22,Delhi,Delhi,Male,VIP,10-08-25,Paid Search,Mobile
C00206,46,Varanasi,Uttar Pradesh,Female,Regular,27-11-23,Affiliate,Mobile
C00207,33,Coimbatore,Tamil Nadu,Female,Regular,07-02-25,Affiliate,Mobile
C00208,31,Vadodara,Gujarat,Female,Regular,02-11-23,Organic,Mobile
C00209,25,Indore,Madhya Pradesh,Female,Regular,24-11-25,Social Media,Mobile
C00210,24,Chennai,Tamil Nadu,Female,Regular,22-12-25,Paid Search,Desktop
C00211,27,Noida,Uttar Pradesh,Female,New,21-05-23,Affiliate,Desktop
C00212,18,Varanasi,Uttar Pradesh,Female,New,19-12-25,Referral,Mobile
C00213,36,Indore,Madhya Pradesh,Male,Regular,14-02-23,Paid Search,Mobile
C00214,28,Kota,Rajasthan,Female,New,16-12-23,Referral,Mobile
C00215,18,Mangaluru,Karnataka,Male,New,19-08-25,Organic,Mobile
C00216,36,Jaipur,Rajasthan,Male,Regular,14-06-24,Paid Search,Mobile
C00217,22,Madurai,Tamil Nadu,Male,Regular,19-01-23,Paid Search,Mobile
C00218,24,Bhopal,Madhya Pradesh,Female,VIP,16-11-24,Paid Search,Mobile
C00219,36,Udaipur,Rajasthan,Female,Regular,12-11-25,Referral,Mobile
C00220,34,Delhi,Delhi,Female,Regular,01-09-25,Email,Mobile
C00221,18,Kolkata,West Bengal,Female,VIP,07-04-23,Organic,Desktop
C00222,32,Siliguri,West Bengal,Female,New,12-12-23,Affiliate,Mobile
C00223,30,Warangal,Telangana,Male,Regular,24-07-24,Paid Search,Mobile
C00224,20,Warangal,Telangana,Male,Regular,19-08-25,Referral,Mobile
C00225,27,Mysuru,Karnataka,Female,Loyal,07-03-25,Organic,Mobile
C00226,27,Bhopal,Madhya Pradesh,Male,Regular,28-04-25,Paid Search,Desktop
C00227,18,Delhi,Delhi,Male,New,05-12-23,Organic,Desktop
C00228,30,Bhopal,Madhya Pradesh,Female,Regular,24-10-25,Organic,Mobile
C00229,40,Mysuru,Karnataka,Female,Regular,10-04-23,Organic,Desktop
C00230,36,Kolkata,West Bengal,Female,Loyal,16-07-25,Organic,Desktop
C00231,43,Udaipur,Rajasthan,Male,New,09-04-25,Social Media,Mobile
C00232,23,Coimbatore,Tamil Nadu,Male,Regular,04-03-24,Organic,Mobile
C00233,34,Jabalpur,Madhya Pradesh,Male,Regular,09-08-24,Email,Desktop
C00234,27,Vadodara,Gujarat,Female,Regular,18-03-23,Referral,Desktop
C00235,25,Siliguri,West Bengal,Male,New,10-10-23,Email,Mobile
C00236,38,Kota,Rajasthan,Female,Regular,16-11-23,Email,Mobile
C00237,36,New Delhi,Delhi,Male,Loyal,15-02-25,Paid Search,Mobile
C00238,27,Varanasi,Uttar Pradesh,Other,New,06-11-25,Social Media,Desktop
C00239,22,Thiruvananthapuram,Kerala,Female,Regular,03-08-23,Organic,Mobile
C00240,47,Rourkela,Odisha,Female,New,15-04-25,Paid Search,Desktop
C00241,28,New Delhi,Delhi,Female,Regular,27-10-24,Paid Search,Mobile
C00242,39,Mumbai,Maharashtra,Male,Loyal,22-03-23,Social Media,Mobile
C00243,18,Mangaluru,Karnataka,Female,Regular,24-02-23,Organic,Mobile
C00244,41,Salem,Tamil Nadu,Female,Loyal,24-10-25,Email,Desktop
C00245,36,Vadodara,Gujarat,Male,Regular,03-01-23,Organic,Mobile
C00246,33,Kanpur,Uttar Pradesh,Other,Regular,06-10-23,Email,Mobile
C00247,32,Delhi,Delhi,Male,New,30-07-25,Social Media,Mobile
C00248,18,Hubballi,Karnataka,Male,Regular,18-02-25,Organic,Mobile
C00249,28,New Delhi,Delhi,Female,New,21-10-25,Paid Search,Mobile
C00250,29,Udaipur,Rajasthan,Female,VIP,23-05-24,Social Media,Mobile
C00251,33,Mumbai,Maharashtra,Female,Loyal,25-07-25,Organic,Mobile
C00252,40,Noida,Uttar Pradesh,Male,New,27-04-24,Paid Search,Mobile
C00253,36,Ahmedabad,Gujarat,Female,Regular,19-04-24,Affiliate,Desktop
C00254,34,Jaipur,Rajasthan,Male,Regular,13-05-25,Paid Search,Mobile
C00255,34,Delhi,Delhi,Male,Regular,25-08-25,Paid Search,Tablet
C00256,37,Jaipur,Rajasthan,Male,Loyal,23-12-25,Paid Search,Desktop
C00257,18,Durgapur,West Bengal,Male,New,22-10-25,Organic,Desktop
C00258,33,Ahmedabad,Gujarat,Male,Regular,09-11-25,Organic,Tablet
C00259,28,Bengaluru,Karnataka,Male,Regular,26-10-25,Organic,Desktop
C00260,36,Cuttack,Odisha,Male,Regular,25-11-23,Organic,Mobile
C00261,34,Udaipur,Rajasthan,Female,VIP,10-12-24,Email,Mobile
C00262,18,Kochi,Kerala,Female,Regular,28-05-25,Paid Search,Desktop
C00263,23,Warangal,Telangana,Male,Regular,16-02-25,Organic,Mobile
C00264,38,Jalandhar,Punjab,Male,VIP,01-04-23,Paid Search,Desktop
C00265,26,Durgapur,West Bengal,Female,Loyal,04-02-24,Social Media,Desktop
C00266,18,Jodhpur,Rajasthan,Female,Loyal,18-01-24,Email,Tablet
C00267,39,Surat,Gujarat,Female,Regular,22-12-23,Paid Search,Mobile
C00268,32,Mysuru,Karnataka,Male,VIP,23-11-25,Paid Search,Mobile
C00269,33,Gwalior,Madhya Pradesh,Male,New,09-08-25,Referral,Mobile
C00270,44,Jodhpur,Rajasthan,Male,Regular,19-08-25,Organic,Tablet
C00271,27,Kochi,Kerala,Female,New,08-12-23,Social Media,Mobile
C00272,29,Mangaluru,Karnataka,Female,Loyal,16-06-25,Referral,Mobile
C00273,30,Hubballi,Karnataka,Female,Loyal,27-03-23,Paid Search,Mobile
C00274,38,Bengaluru,Karnataka,Male,VIP,31-01-24,Email,Mobile
C00275,25,Jodhpur,Rajasthan,Male,VIP,05-12-24,Social Media,Mobile
C00276,40,Nagpur,Maharashtra,Female,VIP,13-08-25,Affiliate,Mobile
C00277,28,Delhi,Delhi,Female,Regular,15-03-23,Paid Search,Mobile
C00278,18,Mumbai,Maharashtra,Male,New,21-09-23,Paid Search,Mobile
C00279,19,Lucknow,Uttar Pradesh,Female,New,10-08-25,Social Media,Mobile
C00280,35,Mangaluru,Karnataka,Female,New,13-03-25,Social Media,Desktop
C00281,25,Nagpur,Maharashtra,Male,Regular,24-09-25,Referral,Mobile
C00282,42,Gwalior,Madhya Pradesh,Male,Regular,31-08-24,Affiliate,Desktop
C00283,38,Nashik,Maharashtra,Female,Loyal,22-11-23,Organic,Mobile
C00284,37,Jalandhar,Punjab,Female,Regular,27-08-24,Paid Search,Mobile
C00285,33,Salem,Tamil Nadu,Female,New,14-06-24,Email,Mobile
C00286,25,New Delhi,Delhi,Female,Regular,04-04-24,Affiliate,Mobile
C00287,24,Kanpur,Uttar Pradesh,Female,Loyal,02-03-25,Email,Mobile
C00288,28,Bengaluru,Karnataka,Female,Regular,06-02-25,Referral,Mobile
C00289,39,Lucknow,Uttar Pradesh,Female,Regular,18-01-23,Paid Search,Desktop
C00290,19,Kanpur,Uttar Pradesh,Male,Regular,10-08-23,Social Media,Mobile
C00291,39,Bhopal,Madhya Pradesh,Female,Regular,27-08-25,Referral,Mobile
C00292,31,Jodhpur,Rajasthan,Male,New,13-08-23,Organic,Mobile
C00293,42,Indore,Madhya Pradesh,Female,New,11-04-25,Affiliate,Mobile
C00294,34,Salem,Tamil Nadu,Male,Loyal,25-01-25,Affiliate,Mobile
C00295,18,Gwalior,Madhya Pradesh,Male,New,11-11-23,Organic,Desktop
C00296,18,Muzaffarpur,Bihar,Male,Loyal,26-10-23,Organic,Mobile
C00297,26,New Delhi,Delhi,Male,Loyal,23-05-24,Organic,Mobile
C00298,30,Jalandhar,Punjab,Male,Loyal,27-10-23,Referral,Mobile
C00299,26,Nashik,Maharashtra,Female,New,20-02-23,Organic,Mobile
C00300,45,New Delhi,Delhi,Female,Regular,08-01-24,Social Media,Mobile
C00301,26,Panipat,Haryana,Female,Regular,30-11-23,Email,Mobile
C00302,28,Nashik,Maharashtra,Female,Regular,02-01-25,Email,Mobile
C00303,45,Pune,Maharashtra,Male,Regular,24-04-25,Email,Mobile
C00304,36,Kolkata,West Bengal,Female,New,22-11-23,Affiliate,Mobile
C00305,36,Vadodara,Gujarat,Female,Regular,17-09-25,Organic,Desktop
C00306,48,Gwalior,Madhya Pradesh,Male,Loyal,18-01-24,Email,Mobile
C00307,34,Nagpur,Maharashtra,Female,VIP,09-12-24,Email,Mobile
C00308,44,Kozhikode,Kerala,Male,Loyal,31-07-24,Social Media,Desktop
C00309,26,Udaipur,Rajasthan,Female,Regular,11-02-24,Organic,Desktop
C00310,33,Faridabad,Haryana,Female,New,07-05-23,Paid Search,Mobile
C00311,41,Jabalpur,Madhya Pradesh,Male,VIP,05-05-25,Social Media,Mobile
C00312,35,Noida,Uttar Pradesh,Male,Loyal,26-01-24,Social Media,Tablet
C00313,34,Coimbatore,Tamil Nadu,Male,VIP,30-10-25,Referral,Tablet
C00314,37,New Delhi,Delhi,Female,Regular,05-06-23,Paid Search,Mobile
C00315,42,Jalandhar,Punjab,Female,Regular,07-07-23,Affiliate,Tablet
C00316,22,Patna,Bihar,Female,Loyal,06-06-23,Referral,Desktop
C00317,28,Noida,Uttar Pradesh,Female,Loyal,31-10-23,Paid Search,Mobile
C00318,28,Gwalior,Madhya Pradesh,Male,VIP,13-05-23,Organic,Mobile
C00319,27,Warangal,Telangana,Male,New,02-08-24,Email,Mobile
C00320,24,Lucknow,Uttar Pradesh,Female,VIP,22-08-25,Affiliate,Desktop
C00321,24,New Delhi,Delhi,Male,Loyal,13-05-24,Organic,Mobile
C00322,33,Patna,Bihar,Male,Regular,30-12-23,Referral,Mobile
C00323,26,Mumbai,Maharashtra,Female,Regular,30-08-25,Referral,Mobile
C00324,38,Siliguri,West Bengal,Male,New,16-09-25,Referral,Mobile
C00325,26,Gaya,Bihar,Male,Regular,20-05-23,Social Media,Mobile
C00326,25,Noida,Uttar Pradesh,Female,Loyal,16-02-24,Organic,Desktop
C00327,27,Kozhikode,Kerala,Female,VIP,16-04-23,Social Media,Mobile
C00328,32,Hyderabad,Telangana,Male,New,10-05-24,Referral,Desktop
C00329,24,Hyderabad,Telangana,Female,New,05-03-23,Email,Mobile
C00330,31,Indore,Madhya Pradesh,Male,Regular,08-06-24,Organic,Mobile
C00331,23,Kochi,Kerala,Male,New,26-08-24,Paid Search,Mobile
C00332,42,Noida,Uttar Pradesh,Female,Regular,12-12-25,Social Media,Mobile
C00333,49,Chennai,Tamil Nadu,Male,New,16-11-25,Paid Search,Desktop
C00334,35,Durgapur,West Bengal,Male,Loyal,20-07-25,Referral,Mobile
C00335,52,Noida,Uttar Pradesh,Other,Regular,15-07-25,Organic,Mobile
C00336,37,Jaipur,Rajasthan,Male,Regular,05-05-25,Organic,Mobile
C00337,19,Varanasi,Uttar Pradesh,Male,Regular,08-05-23,Social Media,Mobile
C00338,21,Indore,Madhya Pradesh,Male,Regular,26-10-25,Email,Desktop
